schema,table,row_count
PROD,CLOUD_REVENUE_ACTUALS,0
PROD,CONSULTING_BUDGET,8025
PROD,CONSULTING_OPPORTUNITY,2919657
PROD,CONSULTING_PIPELINE,2076425
PROD,CONSULTING_PIPELINE_NET_CALL,0
PROD,CONSULTING_REVENUE_ACTUALS,3145140
PROD,CONSULTING_REVENUE_FORECAST,118100
PROD,CONSULTING_SIGNINGS_ACTUALS,621071
PROD,MQT_CLOUD_REVENUE_ACTUALS,0
PROD,MQT_CONSULTING_BUDGET,8025
PROD,MQT_CONSULTING_OPPORTUNITY,2919657
PROD,MQT_CONSULTING_PIPELINE,2076425
PROD,MQT_CONSULTING_PIPELINE_NET_CALL,0
PROD,MQT_CONSULTING_REVENUE_ACTUALS,3145140
PROD,MQT_CONSULTING_REVENUE_FORECAST,118100
PROD,MQT_CONSULTING_SIGNINGS_ACTUALS,621071
PROD,MQT_Q2C_ENGAGESUPPORT_SERVICE_REQUEST,0
PROD,MQT_SOFTWARE_PIPELINE_NET_CALL,10772
PROD,MQT_SOFTWARE_TRANSACTIONAL_ADJUSTMENTS,1088
PROD,MQT_SOFTWARE_TRANSACTIONAL_BUDGET,3531
PROD,MQT_SOFTWARE_TRANSACTIONAL_OPPORTUNITY,3016870
PROD,MQT_SOFTWARE_TRANSACTIONAL_PIPELINE,1768557
PROD,MQT_SOFTWARE_TRANSACTIONAL_REVENUE_ACTUALS,326413
PROD,MQT_SOFTWARE_TRANSACTIONAL_SIGNINGS_ACTUALS,31614
PROD,MQT_SW_SAAS_BUDGET,2343
PROD,MQT_SW_SAAS_OPPORTUNITY,2841581
PROD,MQT_SW_SAAS_PIPELINE,1245710
PROD,MQT_SW_SAAS_REVENUE_ACTUALS,275708
PROD,MQT_TEMP_CONSULTING,2148876
PROD,Q2C_ENGAGESUPPORT_SERVICE_REQUEST,0
PROD,SOFTWARE_PIPELINE_NET_CALL,10772
PROD,SOFTWARE_TRANSACTIONAL_ADJUSTMENTS,1088
PROD,SOFTWARE_TRANSACTIONAL_BUDGET,3531
PROD,SOFTWARE_TRANSACTIONAL_OPPORTUNITY,3016870
PROD,SOFTWARE_TRANSACTIONAL_PIPELINE,97842
PROD,SOFTWARE_TRANSACTIONAL_REVENUE_ACTUALS,326413
PROD,SOFTWARE_TRANSACTIONAL_SIGNINGS_ACTUALS,31614
PROD,SW_SAAS_BUDGET,2343
PROD,SW_SAAS_OPPORTUNITY,2841581
PROD,SW_SAAS_PIPELINE,1245710
PROD,SW_SAAS_REVENUE_ACTUALS,275708
PROD,TEMP_CONSULTING,0
