SK_LINE_ITEM,OPPORTUNITY_ID,CALL_AMT,WON_AMT,UPSIDE_AMT,QUALIFY_PLUS_AMT,PROPOSE_PLUS_AMT,NEGOTIATE_PLUS_AMT,OPEN_PIPELINE_AMT,OPPORTUNITY_VALUE,PPA_AMT,PPV_AMT,PWP_PROB,CREATED_DATE,WEEK,QUARTER,YEAR,SNAPSHOT_LEVEL,RELATIVE_QUARTER_MNEUMONIC,SALES_STAGE,GEOGRAPHY,MARKET,SECTOR,ACCOUNT_TYPE,INDUSTRY,UT30_NAME,PRACTICE,DEAL_SIZE,IBM_GEN_AI_IND,PARTNER_GEN_AI_IND,SALES_WEEK_DESCRIPTION,NEXT_STEP,ACCOUNT_NAME,CLOSE_DATE,LAST_MODIFIED_DATE,OPPORTUNITY_NAME,CLOSE_QUARTER,CLOSE_MONTH,CLOSE_WEEK,CLOSE_YEAR,CLIENT_NAME,UT15_NAME,UT17_NAME,UT20_NAME
7520089,0063h00000KQyGmAAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200000.0,0.0,0.0,0.0,2023-01-05,14,4,2023,W,PQ,Lost,Americas,US Communications & Industrial,US Communications & Industrial,TARGET PREMIER,Select Technology Sales Rep,FSCT: Payables BPO,Finance & Procurement BPO,large,0,0,2023Q4W14,Respond to RFP,LIVERAMP INC,2023-10-05,2023-04-18,Operations BOT,4,10,2,2023,MCCANN / INTERPUBLIC GROUP,Intelligent Operations,Business Operations,Procurement Operations
2236672,0063h00000HYBKWAA5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-02-09,14,4,2023,W,PQ,Lost,Americas,US Public and Communications,US Public and Communications,TARGET PREMIER,Healthcare,IT: Enterprise Strategy,Enterprise Strategy & Industry,small,0,0,2023Q4W14,28  EnGen told us they are reconsidering their App Mod strategy need till end of Q1,HIGHMARK INC,2023-12-08,2023-08-21,EHS AppMOd Phase 3d - AMS Support,4,12,11,2023,HIGHMARK INC,Strategy & Technology,Strategy & Transformation,Strategy & Transformation Offering Top (AUO)
5737774,0063h00000HFb2vAAD,0.0,0.0,0.0,20000000.0,0.0,0.0,20000000.0,20000000.0,904735.0,1944417.0,0.04523678,2021-11-02,1,4,2023,W,CQ,Qualify,Americas,US Communications & Industrial,US Communications & Industrial,TARGET ENTERPRISE,Media & Entertainment,FSCT: Finance Transformation,Finance,large,0,0,2023Q4W01,,GOOGLE LLC,2023-10-27,2023-09-11,Google AFO (S2P) 2024 Renewal,4,10,5,2023,GOOGLE INC,Strategy & Technology,Strategy & Transformation,Finance Transformation
7459826,0063h00000JEFqxAAH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77420.0,0.0,0.0,0.0,2022-08-31,1,4,2023,W,CQ,Lost,Americas,Canada,Canada PUB,ENTERPRISE,Government,Quality Assurance & Testing - Standalone,Quality Engineering,small,0,0,2023Q4W01,Jan30  Pending with DeloitteESDC Confirmed not to be signing as part of the Replan Amendment,EMPLOYMENT AND SOCIAL,2023-11-15,2023-03-15,BDM - Old Age Security Benefits - Phase 2 Amendment (Document Management),4,11,8,2023,CANADA - CDN FED,Intelligent Operations,Application Operations,Quality Engineering Services
7274592,0063h00000JFI8YAAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,2022-09-22,1,4,2023,W,CQ,Lost,Rest of EMEA,DACH,DE COMM DIST HLS,FOUNDATION CLUSTER,Select BPS-T,DTT: AI & Analytics - Customer,AI & Analytics,small,0,0,2023Q4W01,,RWE Power AG,2023-11-22,2023-07-24,Operations optimization enabled by cloud-based analytics platform,4,11,9,2023,RWE AG,Strategy & Technology,Hybrid Cloud & Data,"AI Integration Services (with IBM, AWS, Microsoft)"
8234263,0063h00000KdJMHAA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137000.0,0.0,0.0,0.0,2023-03-06,14,4,2023,W,PQ,Lost,Americas,LA,Mexico,Unassigned,Select BPS-T,Cyber Strategy 6950-10I,Cyber Strategy & Risk,small,0,0,2023Q4W14,Aug24 After 3rd price reduction efforts client is asking for a scope reduction to line up with budget NS Call CISO to confirm budget and determine if IBM wants to proceed,TERRA FERTIL DE MEXICO SA DE CV,2023-10-31,2023-09-06,Security Maturity Assessment,4,10,6,2023,NESTLE,Intelligent Operations,Cybersecurity,IBM Cyber Strategy and Risk
8441262,0063h00000MOSRHAA5,677635.0,677635.0,0.0,677635.0,677635.0,677635.0,0.0,677635.0,0.0,0.0,0.0,2023-11-14,14,4,2023,W,PQ,Won,APAC,ANZ,Australia IND,TARGET PREMIER,Industrial Products,Application Maintenance and Management - Cloud,Custom Application Operations,small,0,0,2023Q4W14,2011 draft calculation complete preparing approvals,DOWNER EDI SERVICES,2023-12-04,2023-12-04,Downer TrainDNA COLA add-on 2023,4,12,11,2023,DOWNER EDI ENGINEERING POWER PTY LTD,Intelligent Operations,Application Operations,Custom Application Management Services
7553670,0063h00000K3piEAAR,0.0,0.0,0.0,200000.0,0.0,0.0,200000.0,200000.0,7133.0,11624.0,0.03566702,2023-01-19,1,4,2023,W,CQ,Qualify,Rest of EMEA,DACH,DE IND,ENTERPRISE,Automotive,"FSCT: Supply Chain, Proc & Mfg Transformation",Supply Chain,small,0,0,2023Q4W01,1901 asked for followup workshop after first call on 011222,Mercedes-Benz Group AG,2023-12-08,2023-07-21,Van Industrial Metaverse,4,12,11,2023,DAIMLER MERCEDES-BENZ,Strategy & Technology,Strategy & Transformation,Supply Chain Transformation
8241456,0063h00000LuqXVAAZ,0.0,0.0,24000.0,24000.0,24000.0,0.0,24000.0,24000.0,11894.0,19638.0,0.49559502,2023-09-05,1,4,2023,W,CQ,Propose,Americas,US Communications & Industrial,US Communications & Industrial,PREMIER,Select Client,Application Maintenance and Management - Cloud,Custom Application Operations,small,0,0,2023Q4W01,,PLAINS ALL AMERICAN PIPELINE LP,2023-10-13,2023-09-26,Plains - CTS Report Developer,4,10,3,2023,PLAINS ALL AMERICAN PIPELINE,Intelligent Operations,Application Operations,Custom Application Management Services
7971989,0063h00000LN6jqAAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333333.0,0.0,0.0,0.0,2023-06-02,14,4,2023,W,PQ,Lost,Americas,Canada,Canada DIST,Unassigned,Select Client,IT: Enterprise Strategy,Enterprise Strategy & Industry,small,0,0,2023Q4W14,Jun 2  Approval to client to proceed with next steps Draft proposal to be sent on June 5th,CANADIAN PACIFIC RAILWAY,2023-11-24,2023-09-18,Corporate IT Model Strategy,4,11,9,2023,CANADIAN PACIFIC KANSAS CITY,Strategy & Technology,Strategy & Transformation,Strategy & Transformation Offering Top (AUO)
