CALL_AMT,WON_AMT,UPSIDE_AMT,QUALIFY_PLUS_AMT,PROPOSE_PLUS_AMT,NEGOTIATE_PLUS_AMT,OPEN_PIPELINE_AMT,OPPORTUNITY_VALUE,PPV_AMT,HIGH_PWP_OUT_CALL,LOW_PWP_IN_CALL,WEEK,QUARTER,YEAR,SNAPSHOT_LEVEL,RELATIVE_QUARTER_MNEUMONIC,SALES_STAGE,GEOGRAPHY,MARKET,SECTOR,ACCOUNT_TYPE,INDUSTRY,UT30_NAME,PRACTICE,DEAL_SIZE,CLIENT_NAME,IBM_GEN_AI_IND,PARTNER_GEN_AI_IND,SALES_WEEK_DESCRIPTION,UT15_NAME,UT17_NAME,UT20_NAME,CALL_AMT_PY,WON_AMT_PY,UPSIDE_AMT_PY,QUALIFY_PLUS_AMT_PY,PROPOSE_PLUS_AMT_PY,NEGOTIATE_PLUS_AMT_PY,OPEN_PIPELINE_AMT_PY,OPPORTUNITY_VALUE_PY,PPV_AMT_PY,HIGH_PWP_OUT_CALL_PY,LOW_PWP_IN_CALL_PY,CALL_AMT_PPY,WON_AMT_PPY,UPSIDE_AMT_PPY,QUALIFY_PLUS_AMT_PPY,PROPOSE_PLUS_AMT_PPY,NEGOTIATE_PLUS_AMT_PPY,OPEN_PIPELINE_AMT_PPY,OPPORTUNITY_VALUE_PPY,PPV_AMT_PPY,HIGH_PWP_OUT_CALL_PPY,LOW_PWP_IN_CALL_PPY,MONTH
0.0,0.0,1000.0,1000.0,1000.0,0.0,1000.0,1000.0,1354.0,0.0,0.0,-1,4,2023,W,NQ,Propose,Americas,Canada,Canada DIST,Unassigned,Select Client,(KYN) Mngd Network Sec Svcs (Mgd) (cloud) 6950-03T Withdrawn,CyberDefend,small,1406393 ONTARIO INC,0,0,2023Q4W-1,Intelligent Operations,Cybersecurity,IBM CyberDefend,,,,,,,,,,,,,,,,,,,,,,,1
0.0,0.0,0.0,120000.0,0.0,0.0,120000.0,120000.0,22504.0,0.0,0.0,-1,4,2023,W,NQ,Qualify,Americas,LA,LA A and U,Unassigned,Digital Squads,CT: Service Transformation with Salesforce,Salesforce,small,A EVANGELISTA,0,0,2023Q4W-1,Strategy & Technology,Business Applications,Enterprise Salesforce Transformation,,,,,,,,,,,,,,,,,,,,,,,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,4,2023,W,NQ,Lost,Rest of EMEA,NCEE,Netherlands,Unassigned,Select BPS-T,CBDS-Cus Data Svc+CAS Withdrawn,,small,A.P. MOLLER - MAERSK GROUP,0,0,2023Q4W-1,Strategy & Technology,Hybrid Cloud & Data,"Data Transformation (with IBM, AWS, Microsoft)",,,,,,,,,,,,,,,,,,,,,,,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,4,2023,W,NQ,Lost,Rest of EMEA,NCEE,Denmark,PREMIER,Travel & Transportation,CPS: Automation Advise Services - Process Withdrawn,,small,A.P. MOLLER - MAERSK GROUP,0,0,2023Q4W-1,Intelligent Operations,Business Operations,Industry Operations,,,,,,,,,,,,,,,,,,,,,,,1
0.0,0.0,0.0,0.0,0.0,0.0,150000.0,150000.0,0.0,0.0,0.0,-2,4,2023,W,NQ+1,Engage,Rest of EMEA,NCEE,Denmark,PREMIER,Travel & Transportation,CT: Customer Transformation with Adobe,Adobe,small,A.P. MOLLER - MAERSK GROUP,0,0,2023Q4W-2,Strategy & Technology,Business Applications,Marketing Transformation,,,,,,,,,,,,,,,,,,,,,,,1
0.0,0.0,0.0,0.0,0.0,0.0,150000.0,150000.0,0.0,0.0,0.0,-1,4,2023,W,NQ,Engage,Rest of EMEA,NCEE,Denmark,PREMIER,Travel & Transportation,CT: Customer Transformation with Adobe,Adobe,small,A.P. MOLLER - MAERSK GROUP,0,0,2023Q4W-1,Strategy & Technology,Business Applications,Marketing Transformation,,,,,,,,,,,,,,,,,,,,,,,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,2023,W,CQ,Lost,Rest of EMEA,NCEE,Denmark,PREMIER,Travel & Transportation,Cloud Native App Development,Migration & Modernization,small,A.P. MOLLER - MAERSK GROUP,0,0,2023Q4W01,Strategy & Technology,Hybrid Cloud & Data,Digital Product Design and Engineering,,,,,,,,,,,,,,,,,,,,,,,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,2023,W,CQ,Qualify,Rest of EMEA,NCEE,Denmark,PREMIER,Travel & Transportation,"Enterprise Cloud Strategy, Arch & Oper Model Transformation",Cloud Advisory,small,A.P. MOLLER - MAERSK GROUP,0,0,2023Q4W01,Strategy & Technology,Hybrid Cloud & Data,Cloud and Technology Strategy,,,,,,,,,,,,,,,,,,,,,,,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,4,2023,W,NQ,Engage,Rest of EMEA,NCEE,Denmark,PREMIER,Travel & Transportation,FSCT: Acquisition Simpler Consulting,Finance,small,A.P. MOLLER - MAERSK GROUP,0,0,2023Q4W-1,Strategy & Technology,Strategy & Transformation,Supply Chain Transformation,,,,,,,,,,,,,,,,,,,,,,,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,2023,W,CQ,Closing,Rest of EMEA,NCEE,Denmark,PREMIER,Travel & Transportation,FSCT: Enterprise Transformation with SAP S/4HANA,SAP,small,A.P. MOLLER - MAERSK GROUP,0,0,2023Q4W01,Strategy & Technology,Business Applications,Enterprise SAP Transformation,,,,,,,,,,,,,,,,,,,,,,,1
