YEAR,QUARTER,MONTH,GEOGRAPHY,MARKET,SECTOR,CLIENT_NAME,INDUSTRY,UT30_NAME,PRACTICE,ACCOUNT_TYPE,REVENUE_AMT,GROSS_PROFIT_AMT,REVENUE_AMT_PY,REVENUE_AMT_PPY,GROSS_PROFIT_AMT_PPY,COUNTRY,BRANCH,GROSS_PROFIT_AMT_PY,UT15_NAME,UT17_NAME,UT20_NAME,GROSS_PROFIT_WITH_COST_CENTER_AMT
2022,1,1,APAC,ANZ,Australia Other,RESOURCE TECHNOLOGY PTY LTD,Select BPS-T,Supply Chain Transformation OA,None,Unassigned,0.0,0.0,0.0,0.0,0.0,Australia,Australia Select,0.0,Strategy & Technology,Strategy & Transformation,Supply Chain Transformation,0.0
2022,1,1,APAC,ANZ,Australia Other,SCUS PTY LTD,Insurance,IBM AIOps Services OA,None,Unassigned,0.0,0.0,0.0,0.0,0.0,Australia,Australia Strategic,0.0,Intelligent Operations,Application Operations,IBM AIOps Services,0.0
2022,1,1,APAC,ANZ,Australia Other,Unassigned,Select Build(ISV)/Service(GSI),Strategy & Tech Top OA,,Unassigned,0.0,-21653.74,0.0,0.0,0.0,Australia,Unassigned,0.0,Strategy & Technology,Strategy & Tech Top,Strategy & Tech Top Offering,-21653.74
2022,1,1,APAC,ASEAN,Indonesia,OOREDOO HUTCHISON ASIA PTE. LTD.,Select BPS-T,IBM Cyber Threat Management Other,None,Unassigned,0.0,0.0,0.0,0.0,0.0,Indonesia,Indonesia Select,0.0,Intelligent Operations,Cybersecurity,IBM Cyber Threat Management,0.0
2022,1,1,APAC,ASEAN,Malaysia,Unassigned,Unassigned,HCM Top,,Unassigned,0.0,4774.83,0.0,0.0,0.0,Malaysia,Unassigned,0.0,Intelligent Operations,Application Operations,Application Operations Top,4774.83
2022,1,1,APAC,ASEAN,Philippines,KYNDRYL GLOBAL OVERRIDE,Computer Integrated Systems Design,Cloud Platform Engineering Services - Other,None,Unassigned,0.0,0.0,0.0,0.0,0.0,Philippines,Philippines Non Sales,0.0,Intelligent Operations,Application Operations,Cloud Platform Engineering Services,0.0
2022,1,1,APAC,ASEAN,Singapore Other,PRIME MINISTER'S OFFICE SINGAPORE,Select BPS-T,WORKDAY,None,Unassigned,0.0,0.0,0.0,0.0,0.0,Singapore,Singapore Select,0.0,Strategy & Technology,Business Applications,HR Technology,0.0
2022,1,1,APAC,ASEAN,Singapore Other,Unassigned,Select BPS-T,Strategy & Tech Top OA,None,Unassigned,0.0,0.0,0.0,0.0,0.0,Singapore,Unassigned,0.0,Strategy & Technology,Strategy & Tech Top,Strategy & Tech Top Offering,0.0
2022,1,1,APAC,ASEAN,Thailand,THE KINGDOM OF THAILAND,Banking,Hybrid Cloud & Data OA Top,None,Unassigned,0.0,0.0,0.0,0.0,0.0,Thailand,Thailand Select,0.0,Strategy & Technology,Hybrid Cloud & Data,Hybrid Cloud & Data Top,0.0
2022,1,1,APAC,ASEAN,Vietnam,UNILEVER PLC,Select BPS-T,Source-to-Pay Operations BPO,None,Unassigned,0.0,0.0,0.0,0.0,0.0,Vietnam,Vietnam Select,0.0,Intelligent Operations,Business Operations,Intelligent Procurement Operations,0.0
2022,1,1,APAC,GCG,Hong Kong,AXA CHINA REGION LIMITED,Select BPS-T,Custom Application Management Services OA,None,Unassigned,0.0,0.0,0.0,0.0,0.0,Hong Kong,Hong Kong Select,0.0,Intelligent Operations,Application Operations,Custom Application Management Services,0.0
2022,1,1,APAC,GCG,Hong Kong,GLP BIDCO LIMITED,Select BPS-T,SALESFORCE,None,Unassigned,0.0,0.0,0.0,0.0,0.0,Hong Kong,Hong Kong Select,0.0,Strategy & Technology,Business Applications,Business Transformation with Salesforce,0.0
2022,1,1,APAC,GCG,Hong Kong,THE CHINESE UNIVERSITY OF HONG KONG,Select BPS-T,Oracle - TT,None,Unassigned,0.0,0.0,0.0,0.0,0.0,Hong Kong,Hong Kong Select,0.0,Strategy & Technology,Business Applications,HR Technology,0.0
