YEAR,QUARTER,MONTH,GEOGRAPHY,SUBMITTED_TIME_YEAR,SUBMITTED_TIME_MONTH,CLIENT_NAME,REVENUE_FORECAST_AMT,COST_FORECAST_AMT,GROSS_PROFIT_FORECAST_AMT,PROJECT
2025,4,3,Americas,2025,6,ITAU UNIBANCO,0.0,6550.0,-6550.0,CHBE9X
2025,3,3,Rest of EMEA,2025,6,"MARS, INCORPORATED",200000.0,156300.0,43700.0,02F-263
2025,4,3,Americas,2025,7,XCEL ENERGY,52020.0,41360.0,10660.0,W0N3Z
2025,4,1,Americas,2025,7,"WEALTH ENHANCEMENT GROUP, LLC",0.0,3980.0,-3980.0,QWEG8
2025,4,3,Americas,2025,7,VOLKSWAGEN,46870.0,48600.0,-1730.0,W99QX
2025,3,2,Rest of EMEA,2025,6,VERBAND DER ERSATZKASSEN,13710.0,0.0,13710.0,01S-TM8
2025,3,1,Americas,2025,7,INTERCORP PERU LTD,430.0,0.0,430.0,RUBDKH
2025,3,2,Rest of EMEA,2025,7,SUEZ,233040.0,233040.0,0.0,01X-JRF
2025,3,2,Americas,2025,6,ALGOMA STEEL,2820.0,2110.0,710.0,RAJ3C
2025,3,3,Americas,2025,7,MORGAN STANLEY,82810.0,47500.0,35310.0,W4NGY
2025,3,3,APAC,2025,7,RELAXO FOOTWEARS LIMITED,28730.0,20590.0,8140.0,INI3902
2025,4,2,Rest of EMEA,2025,6,KLAUS KROSCHKE HOLDING GMBH & CO. KG,4160.0,3330.0,830.0,Unassigned
2025,3,1,Rest of EMEA,2025,6,SAINT GOBAIN DSI GROUPE,0.0,0.0,0.0,Unassigned
2025,3,2,Rest of EMEA,2025,7,STELLANTIS-CNH-IVECO,0.0,0.0,0.0,020-CC3
2025,3,2,Americas,2025,6,ARKANSAS ELECTRIC,26650.0,24660.0,1990.0,W1HGZ
2025,3,2,APAC,2025,7,SAMSUNG ELECTRONICS,18110.0,12540.0,5570.0,MYF6501
2025,4,1,Americas,2025,6,PRUDENTIAL FINANCIAL,47180.0,48480.0,-1300.0,WQ5RZ
2025,3,1,Rest of EMEA,2025,6,EUROPEAN INSTITUTIONS,126000.0,109000.0,17000.0,017-XCM
2025,3,3,Rest of EMEA,2025,7,DEU DEFENSE 3,82320.0,85380.0,-3060.0,026-CCM
2025,4,3,Americas,2025,6,GOVERNMENT OF NOVA SCOTIA,0.0,49420.0,-49420.0,RAK89
2025,3,2,Americas,2025,6,VISION SERVICE PLAN,0.0,6890.0,-6890.0,W440Z
2025,3,2,Rest of EMEA,2025,6,BANCO BILBAO VIZCAYA ARGENTARIA,236740.0,188210.0,48530.0,Unassigned
