YEAR,QUARTER,MONTH,INDUSTRY,UT30_NAME,PRACTICE,GEOGRAPHY,MARKET,SECTOR,REVENUE_BUDGET_AMT,SIGNINGS_BUDGET_AMT,CLIENT_NAME,UT15_NAME,UT17_NAME,UT20_NAME,GROSS_PROFIT_BUDGET_AMT,PLAN_ID
2025,3,7,Communications Top,IBM Consulting (AUO),Security Services,APAC,ASEAN,ASEAN Other,500000.0,927500.0,INDOSAT,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),25000.0,BUDCL
2025,4,10,Communications Top,IBM Consulting (AUO),Security Services,APAC,ASEAN,ASEAN Other,500000.0,927500.0,INDOSAT,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),25000.0,BUDCL
2025,1,1,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,2000000.0,800000.0,ATCO GAS AUSTRALIA GP PTY LTD,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),304383.59,BUDCL
2025,2,4,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,3000000.0,2400000.0,ATCO GAS AUSTRALIA GP PTY LTD,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),456575.38,BUDCL
2025,3,7,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,3000000.0,3200000.0,ATCO GAS AUSTRALIA GP PTY LTD,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),456575.38,BUDCL
2025,4,10,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,2000000.0,1600000.0,ATCO GAS AUSTRALIA GP PTY LTD,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),304383.59,BUDCL
2025,1,1,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,333333.5,166666.67,AUSGRID,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),83333.33,BUDCL
2025,2,4,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,500000.17,500000.0,AUSGRID,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),125000.0,BUDCL
2025,3,7,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,500000.17,666666.67,AUSGRID,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),125000.0,BUDCL
2025,4,10,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,333333.5,2000000.0,AUSGRID,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),83333.33,BUDCL
2025,1,1,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,5000000.0,2500000.0,AUSNET SERVICES,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),940000.0,BUDCL
2025,2,4,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,7500000.0,7500000.0,AUSNET SERVICES,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),1410000.0,BUDCL
2025,3,7,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,7500000.0,10000000.0,AUSNET SERVICES,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),1410000.0,BUDCL
2025,4,10,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,5000000.0,5000000.0,AUSNET SERVICES,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),940000.0,BUDCL
2025,1,1,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,333333.5,166666.67,AUSTRALIAN ENERGY MARKET OPERATOR LIMITED,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),83333.33,BUDCL
