SK_LINE_ITEM,OPPORTUNITY_ID,CALL_AMT,WON_AMT,UPSIDE_AMT,QUALIFY_PLUS_AMT,PROPOSE_PLUS_AMT,NEGOTIATE_PLUS_AMT,OPEN_PIPELINE_AMT,OPPORTUNITY_VALUE,PPA_AMT,PPV_AMT,PWP_PROB,CREATED_DATE,WEEK,QUARTER,YEAR,SNAPSHOT_LEVEL,RELATIVE_QUARTER_MNEUMONIC,SALES_STAGE,GEOGRAPHY,MARKET,SECTOR,ACCOUNT_TYPE,INDUSTRY,UT30_NAME,PRACTICE,DEAL_SIZE,IBM_GEN_AI_IND,PARTNER_GEN_AI_IND,SALES_WEEK_DESCRIPTION,NEXT_STEP,ACCOUNT_NAME,CLOSE_DATE,LAST_MODIFIED_DATE,OPPORTUNITY_NAME,CLOSE_QUARTER,CLOSE_MONTH,CLOSE_WEEK,CLOSE_YEAR,CLIENT_NAME,UT15_NAME,UT17_NAME,UT20_NAME
8424596,0063h00000MBl6gAAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551000.0,0.0,0.0,0.0,2023-11-07,8,1,2025,W,CQ,Lost,Rest of EMEA,DACH,Switzerland,ENTERPRISE,Consumer Products,Application Maintenance and Management - OnPrem,Custom Application Operations,small,0,0,2025Q1W08,,Philip Morris Products S.A.,2025-02-21,2025-02-08,WCP SPS Upgrade,1,2,8,2025,PHILIP MORRIS INTERNATIONAL,Intelligent Operations,Application Operations,Custom Application Management Services
30124069,006Ka00000NZCVHIA5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-12-10,8,1,2025,W,CQ,Propose,Rest of EMEA,NCEE,SweNo,TARGET ENTERPRISE,Telecommunications,"OnPrem Application Development, DevOps & Hybrid Integration",Migration & Modernization,small,0,0,2025Q1W08,,ERICSSON AB,2025-01-31,2025-02-07,"IBM DIL AO; 1,670,400 SEK",1,1,5,2025,ERICSSON,Strategy & Technology,Hybrid Cloud & Data,Digital Product Design and Engineering
30131923,006Ka00000NZJrnIAH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,760288.0,0.0,0.0,0.0,2024-12-26,8,1,2025,W,CQ,Lost,APAC,ISA,ISA DIST,Unassigned,Computer Integrated Systems Design,CSS: Threat Mgmt Svcs (Custom Mgd) 6950-21K Withdrawn,Cyber Threat Management,small,0,0,2025Q1W08,,KYNDRYL SOLUTIONS PRIVATE,2025-01-31,2025-02-07,Security RFP Part C,1,1,5,2025,KYNDRYL,Intelligent Operations,Cybersecurity,IBM Cyber Threat Management
15075312,0063h00000JkgFoAAJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,0.0,0.0,0.0,2022-10-06,8,1,2025,W,CQ,Lost,Americas,US Communications & Industrial,US Communications & Industrial,Unassigned,Select Client,IT: Enterprise Strategy,Enterprise Strategy & Industry,small,0,0,2025Q1W08,,AVISTA CORP,2025-01-10,2025-01-20,ERP Architect / Advisor,1,1,2,2025,AVISTA CORP,Strategy & Technology,Strategy & Transformation,Strategy & Transformation Offering Top (AUO)
7998408,0063h00000LOLUEAA5,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2023-06-14,8,1,2025,W,CQ,Propose,Americas,US Federal,US Federal,ENTERPRISE,Government,"FSCT: Supply Chain, Proc & Mfg Transformation",Supply Chain,small,0,0,2025Q1W08,,GENERAL SERVICES ADMINISTRATION,2025-02-28,2025-02-07,GSA SCRIPTS Multi-Award BPA,1,2,9,2025,CIV - GSA US GENERAL SERVICES ADMINISTRATION,Strategy & Technology,Strategy & Transformation,Supply Chain Transformation
30244971,006Ka00000QVdc1IAD,343441.0,343441.0,0.0,343441.0,343441.0,343441.0,0.0,343441.0,339933.0,407063.0,0.98978497,2024-12-23,8,1,2025,W,CQ,Won,Japan,JP Industrial,JP AD CP and IPR,PREMIER,Industrial Products,ServiceNow - Implementation & Manage,ServiceNow,small,0,0,2025Q1W08,,SEKISUI HOUSE,2025-01-24,2025-02-07,ＤＸＰ　Ｗａｖｅ１．１　ServiceNowライセンス,1,1,4,2025,SEKISUI HOUSE,Intelligent Operations,Application Operations,Cloud Platform Engineering Services
15393954,006Ka00000PEdkkIAD,0.0,0.0,1785000.0,1785000.0,1785000.0,0.0,1785000.0,1785000.0,0.0,0.0,0.0,2024-09-16,8,1,2025,W,CQ,Propose,Rest of EMEA,France,France FSS,PREMIER,Insurance,Application Maintenance and Management - OnPrem,Custom Application Operations,Unassigned,0,0,2025Q1W08,,ALLIANZ TECHNOLOGY,2025-03-31,2025-02-14,DEMARCH - 2025 Q2,1,3,14,2025,ALLIANZ,Intelligent Operations,Application Operations,Custom Application Management Services
30287034,006Ka00000PHIQJIA5,109200.0,109200.0,0.0,109200.0,109200.0,109200.0,0.0,109200.0,108453.0,124909.0,0.99316297,2025-01-29,8,1,2025,W,CQ,Won,Americas,US Public and Communications,US Public and Communications,ENTERPRISE,Life Sciences,FSCT: Enterprise Transformation with SAP S/4HANA,SAP,small,0,0,2025Q1W08,,PFIZER INC,2025-02-11,2025-02-13,Project Seagen Integration-Commercial,1,2,7,2025,PFIZER,Strategy & Technology,Business Applications,Enterprise SAP Transformation
1351647,0063h00000GIFPUAA5,0.0,0.0,0.0,274285.0,0.0,0.0,274285.0,274285.0,66398.0,79510.0,0.24207776,2020-10-27,8,1,2025,W,CQ,Qualify,Japan,JP Banking & Financial Markets,JP BKFM SMFG,ENTERPRISE,Banking,Application Maintenance and Management - OnPrem,Custom Application Operations,small,0,0,2025Q1W08,,JRI BANK SYSTEM 1,2025-03-31,2025-02-08,チャネル系　大和センター常駐サービス,1,3,14,2025,SUMITOMO MITSUI FINANCIAL GROUP,Intelligent Operations,Application Operations,Custom Application Management Services
15260839,006Ka00000NWPIjIAP,190476.0,0.0,0.0,190476.0,190476.0,0.0,190476.0,190476.0,110474.0,125983.0,0.57998897,2024-11-05,8,1,2025,W,CQ,Propose,Japan,JP Industrial,JP AD CP and IPR,PREMIER,Industrial Products,"FSCT: Supply Chain, Proc & Sustainability BPO",Finance & Procurement BPO,small,0,0,2025Q1W08,,NITTO DENKO HQ,2025-03-31,2025-02-08,BPO間接財 変更契約（2025年3月),1,3,14,2025,NITTO DENKO CORPORATION.,Intelligent Operations,Business Operations,Procurement Operations
