CALL_AMT,WON_AMT,UPSIDE_AMT,QUALIFY_PLUS_AMT,PROPOSE_PLUS_AMT,NEGOTIATE_PLUS_AMT,OPEN_PIPELINE_AMT,OPPORTUNITY_VALUE,PPV_AMT,HIGH_PWP_OUT_CALL,LOW_PWP_IN_CALL,WEEK,QUARTER,YEAR,SNAPSHOT_LEVEL,RELATIVE_QUARTER_MNEUMONIC,SALES_STAGE,GEOGRAPHY,MARKET,SECTOR,ACCOUNT_TYPE,INDUSTRY,UT30_NAME,PRACTICE,DEAL_SIZE,CLIENT_NAME,IBM_GEN_AI_IND,PARTNER_GEN_AI_IND,SALES_WEEK_DESCRIPTION,UT15_NAME,UT17_NAME,UT20_NAME,CALL_AMT_PY,WON_AMT_PY,UPSIDE_AMT_PY,QUALIFY_PLUS_AMT_PY,PROPOSE_PLUS_AMT_PY,NEGOTIATE_PLUS_AMT_PY,OPEN_PIPELINE_AMT_PY,OPPORTUNITY_VALUE_PY,PPV_AMT_PY,HIGH_PWP_OUT_CALL_PY,LOW_PWP_IN_CALL_PY,CALL_AMT_PPY,WON_AMT_PPY,UPSIDE_AMT_PPY,QUALIFY_PLUS_AMT_PPY,PROPOSE_PLUS_AMT_PPY,NEGOTIATE_PLUS_AMT_PPY,OPEN_PIPELINE_AMT_PPY,OPPORTUNITY_VALUE_PPY,PPV_AMT_PPY,HIGH_PWP_OUT_CALL_PPY,LOW_PWP_IN_CALL_PPY,MONTH
0.0,0.0,0.0,15000.0,0.0,0.0,15000.0,15000.0,357.0,0.0,0.0,3,1,2025,W,CQ,Qualify,Americas,US Federal,US Federal,TARGET ENTERPRISE,Government,"BV Assets for App Migration and Mod (not AWS, Microsoft)",Microsoft,small,CIV -  US COURTS AND JUSTICE,0,0,2025Q1W03,Strategy & Technology,Hybrid Cloud & Data,"Application Migration and Modernization (not AWS, Microsoft)",,,,,,,,,,,,,,,,,,,,,,,1
0.0,0.0,4164394.0,4164394.0,4164394.0,0.0,4164394.0,4164394.0,483530.0,0.0,0.0,3,1,2025,W,CQ,Propose,Americas,US Federal,US Federal,TARGET ENTERPRISE,Government,CSS: USFd: Strtg & Rslnce (C&SI) (cloud) 6941-17C Withdrawn,Cyber Strategy & Risk,small,CIV -  US COURTS AND JUSTICE,0,0,2025Q1W03,Intelligent Operations,Cybersecurity,IBM Cyber Strategy and Risk,,,,,,,,,,,,,,,,,,,,,,,1
45707.0,0.0,0.0,45707.0,45707.0,45707.0,45707.0,45707.0,64056.0,0.0,0.0,3,1,2025,W,CQ,Closing,Americas,US Federal,US Federal,TARGET ENTERPRISE,Government,CT: Acquisition Octo Federal Salesforce - Standalone,Salesforce,small,CIV -  US COURTS AND JUSTICE,0,0,2025Q1W03,Strategy & Technology,Business Applications,Enterprise Salesforce Transformation,,,,,,,,,,,,,,,,,,,,,,,1
0.0,0.0,39356.0,39356.0,39356.0,0.0,39356.0,39356.0,811.0,0.0,0.0,3,1,2025,W,CQ,Propose,Americas,US Federal,US Federal,TARGET ENTERPRISE,Government,"CT: Experience Design, Mobile & Spatial Computing",Enterprise Experience Design iX,small,CIV -  US COURTS AND JUSTICE,0,0,2025Q1W03,Strategy & Technology,Strategy & Transformation,Experience Strategy and Design,,,,,,,,,,,,,,,,,,,,,,,1
0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,2000000.0,0.0,0.0,0.0,3,1,2025,W,CQ,Engage,Americas,US Federal,US Federal,TARGET ENTERPRISE,Government,CT: Service Transformation with Salesforce,Salesforce,small,CIV -  US COURTS AND JUSTICE,0,0,2025Q1W03,Strategy & Technology,Business Applications,Enterprise Salesforce Transformation,,,,,,,,,,,,,,,,,,,,,,,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,233642.0,0.0,0.0,0.0,3,1,2025,W,CQ,Lost,Americas,US Federal,US Federal,TARGET ENTERPRISE,Government,CT: Service Transformation with Salesforce,Salesforce,small,CIV -  US COURTS AND JUSTICE,0,0,2025Q1W03,Strategy & Technology,Business Applications,Enterprise Salesforce Transformation,,,,,,,,,,,,,,,,,,,,,,,1
0.0,0.0,0.0,3000000.0,0.0,0.0,3000000.0,3000000.0,101462.0,0.0,0.0,3,1,2025,W,CQ,Qualify,Americas,US Federal,US Federal,TARGET ENTERPRISE,Government,CT: Service Transformation with Salesforce,Salesforce,small,CIV -  US COURTS AND JUSTICE,0,0,2025Q1W03,Strategy & Technology,Business Applications,Enterprise Salesforce Transformation,,,,,,,,,,,,,,,,,,,,,,,1
10477.0,0.0,0.0,10477.0,10477.0,10477.0,10477.0,10477.0,14737.0,0.0,0.0,3,1,2025,W,CQ,Closing,Americas,US Federal,US Federal,TARGET ENTERPRISE,Government,DTT: Acquisition Octo Federal AI & Analytics - Standalone,AI & Analytics,small,CIV -  US COURTS AND JUSTICE,0,0,2025Q1W03,Strategy & Technology,Hybrid Cloud & Data,"AI Integration Services (with IBM, AWS, Microsoft)",,,,,,,,,,,,,,,,,,,,,,,1
145255.0,0.0,0.0,145255.0,145255.0,145255.0,145255.0,145255.0,204498.0,0.0,0.0,3,1,2025,W,CQ,Closing,Americas,US Federal,US Federal,TARGET ENTERPRISE,Government,DTT: Acquisition Octo Federal Data Services - Standalone,Data Services,small,CIV -  US COURTS AND JUSTICE,0,0,2025Q1W03,Strategy & Technology,Hybrid Cloud & Data,"Data Transformation (with IBM, AWS, Microsoft)",,,,,,,,,,,,,,,,,,,,,,,1
0.0,0.0,944563.0,944563.0,944563.0,0.0,944563.0,944563.0,19332.0,0.0,0.0,3,1,2025,W,CQ,Propose,Americas,US Federal,US Federal,TARGET ENTERPRISE,Government,DTT: Microsoft Business Applications - Customer,Microsoft,small,CIV -  US COURTS AND JUSTICE,0,0,2025Q1W03,Strategy & Technology,Hybrid Cloud & Data,"AI Integration Services (with IBM, AWS, Microsoft)",,,,,,,,,,,,,,,,,,,,,,,1
