YEAR,QUARTER,WEEK,GEOGRAPHY,MARKET,SECTOR,INDUSTRY,UT30_NAME,ACCOUNT_TYPE,SIGNINGS_AMT,PRACTICE,DEAL_SIZE,CLIENT_NAME,SIGNINGS_AMT_PY,SIGNINGS_AMT_PPY,COUNTRY,BRANCH,UT15_NAME,UT17_NAME,UT20_NAME,MONTH
2023,2,3,Rest of EMEA,DACH,DE FSS,Select BPS-T,Custom Application Management Services OA,TARGET PREMIER,0.0,Custom Application Operations,<10M,VIG VIENNA INSURANCE GROUP,,,,,Intelligent Operations,Application Operations,Custom Application Management Services,1
2023,4,11,Americas,US Public and Communications,US Public and Communications,Education,Oracle - TT,PREMIER,0.0,Oracle,<10M,STATE OF NORTH CAROLINA,,,,,Strategy & Technology,Business Applications,HR Technology,3
2023,2,13,Rest of EMEA,NCEE,Bel Lux,Select BPS-T,"AI Integration Services (with IBM, AWS)",Unassigned,0.0,AI & Analytics,<10M,TECHNOPOLIS,,,,,Strategy & Technology,Hybrid Cloud & Data,"AI Integration Services (with IBM, AWS, Microsoft)",3
2023,2,11,Americas,US Communications & Industrial,US Communications & Industrial,Select Client,SALESFORCE,ENTERPRISE,-297969.0,Salesforce,<10M,SHELL PLC,,,,,Strategy & Technology,Business Applications,Business Transformation with Salesforce,3
2023,2,5,Americas,LA,Mexico,Select BPS-T,CUSTOMER BPO,ENTERPRISE,256.0,Customer Operations,<10M,NATURGY,,,,,Intelligent Operations,Business Operations,Customer Service Transformation and Operations,1
2023,2,6,Americas,US Federal,US Federal,Government,Digital Product Design and Engineering OA,ENTERPRISE,0.0,Migration & Modernization,<10M,CIV - INTERIOR,,,,,Strategy & Technology,Hybrid Cloud & Data,Digital Product Design and Engineering,2
2023,1,9,Americas,US Financial,US Financial,Insurance,Digital Product Design and Engineering OA,ENTERPRISE,0.0,,<10M,METLIFE,,,,,Strategy & Technology,Hybrid Cloud & Data,Digital Product Design and Engineering,2
2023,3,12,Americas,US Communications & Industrial,US Communications & Industrial,Unassigned,"App Mig and Modern (not AWS, Microsoft) OA",Unassigned,0.0,Migration & Modernization,<10M,Unassigned,,,,,Strategy & Technology,Hybrid Cloud & Data,"Application Migration and Modernization (not AWS, Microsoft)",3
2023,4,5,Japan,JP Top,JP Other,Valid Unassigned Activity,Cloud Platform Engineering Services - Other,Unassigned,231837.0,Japan Joint Ventures,<10M,NABTESCO CORPORATION,,,,,Intelligent Operations,Application Operations,Cloud Platform Engineering Services,1
2023,2,5,Rest of EMEA,SPGI,Portugal,Select BPS-T,Industry Operations Non BPO,FOUNDATION,-47190.0,,<10M,MONTEPIO,,,,,Intelligent Operations,Business Operations,Intelligent Industry Operations,1
2023,2,13,Rest of EMEA,DACH,DE IND,Select BPS-T,SAP,ENTERPRISE,3138.0,SAP,<10M,PANASONIC HOLDINGS CORPORATION,,,,,Strategy & Technology,Business Applications,Business Transformation with SAP Applications,3
2023,1,5,Americas,US Communications & Industrial,US Communications & Industrial,Computer Integrated Systems Design,IBM Cyber Threat Management Other,PREMIER,0.0,Cyber Threat Management,<10M,DOW CHEMICAL,,,,,Intelligent Operations,Cybersecurity,IBM Cyber Threat Management,1
2023,1,7,APAC,ISA,ISA FSS,Digital Squads,Custom Application Management Services OA,TARGET PREMIER,0.0,Custom Application Operations,<10M,"GOLDMAN SACHS GROUP, INC",,,,,Intelligent Operations,Application Operations,Custom Application Management Services,2
2023,1,6,Americas,US Financial,US Financial,Select Technology Sales Rep,Cloud Platform Engineering Services - Other,Unassigned,0.0,Platform Engineering Services,<10M,RAYMOND JAMES,,,,,Intelligent Operations,Application Operations,Cloud Platform Engineering Services,2
2023,3,10,Americas,US Communications & Industrial,US Communications & Industrial,Automotive,Sales and Commerce Transformation OA,ENTERPRISE,1890565.0,Customer,<10M,GENERAL MOTORS,,,,,Strategy & Technology,Strategy & Transformation,Sales and Commerce Transformation,3
2023,2,9,Rest of EMEA,France,France COMM,Unassigned,Industry Operations Non BPO,Unassigned,0.0,Industry Operations & Automation,<10M,Unassigned,,,,,Intelligent Operations,Business Operations,Intelligent Industry Operations,2
2023,3,8,Japan,JP Insurance,JP INS NISSAY,Insurance,Application Mig and Mod on AWS OA,ENTERPRISE,0.0,AWS,>=10M,NISSAY,,,,,Strategy & Technology,Hybrid Cloud & Data,Application Migration and Modernization on AWS,2
2023,2,12,Americas,Canada,Canada DIST,Select Technology Sales Rep,Quality Engineering Services OA,PREMIER,45723.0,Quality Engineering,<10M,"EMPIRE COMPANY LIMITED (SOBEYS, ACHILLE DE LA CHEVROTIERE)",,,,,Intelligent Operations,Application Operations,Quality Engineering Services,3
2023,3,6,APAC,ISA,ISA FSS,Select BPS-T,WORKDAY,FOUNDATION CLUSTER,0.0,Workday,<10M,FIDELITY INTERNATIONAL,,,,,Strategy & Technology,Business Applications,HR Technology,2
2023,3,11,Japan,JP Industrial,JP Electronics,Unassigned,Industry Operations Non BPO,Unassigned,0.0,Industry Operations & Automation,<10M,Unassigned,,,,,Intelligent Operations,Business Operations,Intelligent Industry Operations,3
2023,2,11,Japan,JP Top,JP Other,Unassigned,Custom Application Management Services OA,Unassigned,0.0,Custom Application Operations,<10M,"BANDO CHEMICAL INDUSTRIES, LTD.",,,,,Intelligent Operations,Application Operations,Custom Application Management Services,3
2023,1,7,Rest of EMEA,SPGI,Portugal,Select BPS-T,AMS for SAP Apps,Unassigned,0.0,SAP Application Operations,<10M,CS HOTELS,,,,,Intelligent Operations,Application Operations,Application Management Services for SAP Applications,2
2023,3,13,Rest of EMEA,France,France FSS,Banking,Digital Product Design and Engineering OA,ENTERPRISE,0.0,,<10M,BNP PARIBAS,,,,,Strategy & Technology,Hybrid Cloud & Data,Digital Product Design and Engineering,3
2023,4,9,Americas,LA,Mexico,Telecommunications,SALESFORCE,PREMIER,0.0,Salesforce,<10M,AMERICA MOVIL,,,,,Strategy & Technology,Business Applications,Business Transformation with Salesforce,2
2023,1,8,Americas,US Public and Communications,US Public and Communications,Government,IBM AIOps Services OA,ENTERPRISE,0.0,,<10M,STATE OF CALIFORNIA,,,,,Intelligent Operations,Application Operations,IBM AIOps Services,2
2023,2,6,Americas,US Distribution,US Cpg,Consumer Products,SALESFORCE,ENTERPRISE,0.0,Salesforce,<10M,PEPSICO (PEPSI-COLA INTL),,,,,Strategy & Technology,Business Applications,Business Transformation with Salesforce,2
2023,3,10,Americas,Canada,Canada Fin,Banking,Custom Application Management Services OA,ENTERPRISE,0.0,Custom Application Operations,<10M,TD BANK FINANCIAL GROUP,,,,,Intelligent Operations,Application Operations,Custom Application Management Services,3
2023,3,8,APAC,GCG,MCN IFC PLUS,Select BPS-T,HR and Talent,FOUNDATION,341985.0,Talent,<10M,"SHANDONG HONGLIYUAN CO., LTD.",,,,,Strategy & Technology,Strategy & Transformation,HR & Talent Offering,2
2023,4,9,Americas,US Distribution,US Retail,Unassigned,Strategy & Tech Top OA,Unassigned,-215000.0,,<10M,Unassigned,,,,,Strategy & Technology,Strategy & Tech Top,Strategy & Tech Top Offering,2
2023,2,13,Rest of EMEA,DACH,DE FSS,Insurance,"AI Integration Services (with IBM, AWS)",FOUNDATION CLUSTER,93800.0,AI & Analytics,<10M,ASSICURAZIONI GENERALI,,,,,Strategy & Technology,Hybrid Cloud & Data,"AI Integration Services (with IBM, AWS, Microsoft)",3
2023,3,9,Americas,US Communications & Industrial,US Communications & Industrial,Select Client,IBM Cyber Threat Management Other,Unassigned,0.0,Cyber Threat Management,<10M,OCCIDENTAL PETROLEUM,,,,,Intelligent Operations,Cybersecurity,IBM Cyber Threat Management,2
2023,2,5,Rest of EMEA,SPGI,Portugal,Select BPS-T,HR and Talent,Unassigned,9593.0,Talent,<10M,"CTT - CORREIOS DE PORTUGAL, S.A.",,,,,Strategy & Technology,Strategy & Transformation,HR & Talent Offering,1
2023,1,3,UKI,UKI Financial Services Sector,UKI Insurance,Select BPS-T,IBM CyberDefend Other,Unassigned,0.0,CyberDefend,<10M,POLARIS,,,,,Intelligent Operations,Cybersecurity,IBM CyberDefend,1
2023,3,10,Americas,US Financial,US Financial,Finance Markets,"AI Integration Services (with IBM, AWS)",ENTERPRISE,0.0,Promontory,<10M,VISA,,,,,Strategy & Technology,Hybrid Cloud & Data,"AI Integration Services (with IBM, AWS, Microsoft)",3
2023,2,6,APAC,ANZ,Australia COMM,Select BPS-T,Supply Chain Transformation OA,PREMIER,0.0,Enterprise Strategy,<10M,ATCO GAS AUSTRALIA GP PTY LTD,,,,,Strategy & Technology,Strategy & Transformation,Supply Chain Transformation,2
2023,2,8,Americas,US Communications & Industrial,US Communications & Industrial,Digital Squads,Oracle - TT,Unassigned,0.0,Oracle,<10M,HB ZACHRY CO,,,,,Strategy & Technology,Business Applications,HR Technology,2
