SK_LINE_ITEM,OPPORTUNITY_NUMBER,CALL,WON,UPSIDE,QUALIFY_PLUS,PROPOSE_PLUS,NEGOTIATE_PLUS,OPEN_PIPELINE,VALUE,PPA,PPV,PWP,HIGH_PWP_OUT_CALL,LOW_PWP_IN_CALL,DATE,YEAR,QUARTER,WEEK,RELATIVE_QUARTER_MNEUMONIC,SNAPSHOT_LEVEL,SALES_STAGE,DEAL_SIZE,CLIENT_TYPE,CLIENT_SUB_TYPE,GEOGRAPHY,MARKET,COUNTRY,UT15_NAME,UT17_NAME,UT20_NAME,UT30_NAME,SALES_WEEK_DESCRIPTION,ACCOUNT_NAME,LINK_TO_ISC,REGION,BRANCH,CLOSE_WEEK,CLOSE_DATE,CLOSE_YEAR,CLOSE_QUARTER,CLOSE_MONTH,NEXT_STEP
30450594,006Ka00000NZr0GIAT,0.0,0.0,0.0,0.0,0.0,0.0,24000.0,24000.0,89.0,0.0,0.00372966,0.0,0.0,2025-04-05 00:00:00,2025,2,1,CQ,W,Engage,<1M,Coverage Select,Select Digital,Americas,US National Market,US National Market,Automation Platform,Infrastructure Automation,Identity and Access Mgmt,MaaS360 Mobile Security and Management,2025Q2W01,GREEN TOKAI CO LTD,https://ibmsc.lightning.force.com/lightning/r/Opportunity/006Ka00000NZr0GIAT/view,US Northeast Region,03. OH-PA Hub,5,2025-05-02,2025,2,5,223 client put in request for Maas Trial 0 sent him an email of assitance
30445922,006Ka00000NZr0QIAT,0.0,0.0,2160.0,2160.0,2160.0,0.0,2160.0,2160.0,1156.0,3976.0,0.5355346,0.0,0.0,2025-04-05 00:00:00,2025,2,1,CQ,W,Propose,<1M,Coverage Select,Select TSR,Americas,US National Market,US National Market,Data Platform,Data Fabric,Data Intelligence,SPSS Statistics,2025Q2W01,STATE OF ARIZONA,https://ibmsc.lightning.force.com/lightning/r/Opportunity/006Ka00000NZr0QIAT/view,US Northeast Region,16. AZ-NM-NV Hub,9,2025-05-31,2025,2,5,0224 sent quote to customer for their quote options for review
30445922,006Ka00000NZr0QIAT,2297.18,2297.18,0.0,0.0,0.0,0.0,0.0,2297.18,0.0,0.0,0.0,0.0,0.0,2025-07-05 00:00:00,2025,2,14,PQ,DW,Won,<1M,Coverage Select,Select TSR,Americas,US National Market,US National Market,Data Platform,Data Fabric,Data Intelligence,SPSS Statistics,2025Q2W14,STATE OF ARIZONA,https://ibmsc.lightning.force.com/lightning/r/Opportunity/006Ka00000NZr0QIAT/view,US Northeast Region,16. AZ-NM-NV Hub,8,2025-05-22,2025,2,5,0522 PO sent to brazil
30444573,006Ka00000NZr0zIAD,47500.0,0.0,0.0,47500.0,0.0,0.0,47500.0,47500.0,11875.0,31747.0,0.25001005,0.0,0.0,2025-04-05 00:00:00,2025,2,1,CQ,W,Design,<1M,Coverage Select,Select BPS-T,APAC,Australia/New Zealand Market,New Zealand,Automation Platform,Application Development & Integration,Application Integration,Aspera,2025Q2W01,SKY NETWORK TELEVISION LTD,https://ibmsc.lightning.force.com/lightning/r/Opportunity/006Ka00000NZr0zIAD/view,Australia/New Zealand Region,New Zealand Select,9,2025-05-30,2025,2,5,0304  Luke to ring the customer on Friday 0404 and to speak with customer to get update on budget approval
30594937,006Ka00000NZr3FIAT,0.0,0.0,15000.0,15000.0,15000.0,0.0,15000.0,15000.0,2558.0,6188.0,0.17054346,0.0,0.0,2025-04-05 00:00:00,2025,2,1,CQ,W,Propose,<1M,Coverage Select,Select BPS-T,APAC,ASEAN Market,Singapore,Automation Platform,Application Development & Integration,Application Development,WebSphere Application Server,2025Q2W01,BNP PARIBAS SINGAPORE BRANCH,https://ibmsc.lightning.force.com/lightning/r/Opportunity/006Ka00000NZr3FIAT/view,ASEAN Region,Singapore Select,8,2025-05-23,2025,2,5,Quote to be presented to customer
30445767,006Ka00000NZr3UIAT,0.0,0.0,0.0,74857.97,0.0,0.0,74857.97,74857.97,1071.0,2492.0,0.01431495,0.0,0.0,2025-04-05 00:00:00,2025,2,1,CQ,W,Qualify,<1M,Coverage Select,Select BPS-T,APAC,ASEAN Market,Singapore,Automation Platform,Technology Business Management,Asset Lifecycle Management,Maximo,2025Q2W01,PEOPLE'S ASSOCIATION,https://ibmsc.lightning.force.com/lightning/r/Opportunity/006Ka00000NZr3UIAT/view,ASEAN Region,Singapore Select,9,2025-05-31,2025,2,5,
30445680,006Ka00000NZr3oIAD,8000.0,0.0,0.0,8000.0,8000.0,0.0,8000.0,8000.0,711.0,2492.0,0.08894656,0.0,8000.0,2025-04-05 00:00:00,2025,2,1,CQ,W,Propose,<1M,Coverage Select,Select BPS-T,APAC,ASEAN Market,Philippines,Data Platform,Data Fabric,Data Security,Guardium Data Security Center,2025Q2W01,ZUELIG PHARMA ASIA PACIFIC,https://ibmsc.lightning.force.com/lightning/r/Opportunity/006Ka00000NZr3oIAD/view,ASEAN Region,Philippines Select,5,2025-04-30,2025,2,4,0224 Quote was presented to the TH entity Needs to review the offer Potential implem late March
30445680,006Ka00000NZr3oIAD,8000.0,8000.0,0.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,2025-07-05 00:00:00,2025,2,14,PQ,DW,Won,<1M,Coverage Select,Select BPS-T,APAC,ASEAN Market,Philippines,Data Platform,Data Fabric,Data Security,Guardium Data Security Center,2025Q2W14,ZUELIG PHARMA ASIA PACIFIC,https://ibmsc.lightning.force.com/lightning/r/Opportunity/006Ka00000NZr3oIAD/view,ASEAN Region,Philippines Select,12,2025-06-20,2025,2,6,for EU PO to clear loading Need to update Product detail to GDP
30445681,006Ka00000NZr5pIAD,0.0,0.0,0.0,0.0,0.0,0.0,62000.0,62000.0,1058.0,0.0,0.01706624,0.0,0.0,2025-04-05 00:00:00,2025,2,1,CQ,W,Engage,<1M,Coverage Enterprise,Coverage Enterprise,APAC,Australia/New Zealand Market,Australia,Data Platform,AI Productivity,Workflow Automation,Business Automation Workflow,2025Q2W01,WESTPAC BANKING CORPORATION,https://ibmsc.lightning.force.com/lightning/r/Opportunity/006Ka00000NZr5pIAD/view,Australia/New Zealand Region,Australia Enterprise,5,2025-04-30,2025,2,4,
30445681,006Ka00000NZr5pIAD,93000.0,93000.0,0.0,0.0,0.0,0.0,0.0,93000.0,0.0,0.0,0.0,0.0,0.0,2025-07-05 00:00:00,2025,2,14,PQ,DW,Won,<1M,Coverage Enterprise,Coverage Enterprise,APAC,Australia/New Zealand Market,Australia,Data Platform,AI Productivity,Workflow Automation,Business Automation Workflow,2025Q2W14,WESTPAC BANKING CORPORATION,https://ibmsc.lightning.force.com/lightning/r/Opportunity/006Ka00000NZr5pIAD/view,Australia/New Zealand Region,Australia Enterprise,10,2025-06-06,2025,2,6,
