CALL,WON,UPSIDE,QUALIFY_PLUS,PROPOSE_PLUS,NEGOTIATE_PLUS,OPEN_PIPELINE,VALUE,PPA,PPV,HIGH_PWP_OUT_CALL,LOW_PWP_IN_CALL,YEAR,QUARTER,WEEK,RELATIVE_QUARTER_MNEUMONIC,SNAPSHOT_LEVEL,SALES_STAGE,DEAL_SIZE,CLIENT_TYPE,CLIENT_SUB_TYPE,GEOGRAPHY,MARKET,COUNTRY,REGION,BRANCH,UT15_NAME,UT17_NAME,UT20_NAME,UT30_NAME,SALES_WEEK_DESCRIPTION,CALL_PY,WON_PY,UPSIDE_PY,QUALIFY_PLUS_PY,PROPOSE_PLUS_PY,NEGOTIATE_PLUS_PY,OPEN_PIPELINE_PY,VALUE_PY,PPA_PY,PPV_PY,HIGH_PWP_OUT_CALL_PY,LOW_PWP_IN_CALL_PY,CALL_PPY,WON_PPY,UPSIDE_PPY,QUALIFY_PLUS_PPY,PROPOSE_PLUS_PPY,NEGOTIATE_PLUS_PPY,OPEN_PIPELINE_PPY,VALUE_PPY,PPA_PPY,PPV_PPY,HIGH_PWP_OUT_CALL_PPY,LOW_PWP_IN_CALL_PPY
0.0,0.0,0.0,13333.0,0.0,0.0,13333.0,13333.0,135.0,335.0,0.0,0.0,2024,2,1,CQ,W,Qualify,<1M,Coverage Select,Select Build/Service,Americas,US National Market,US National Market,US Northeast Region,01. MA-ME-NH-RI-VT Hub,Data Platform,Data Fabric,Databases,Db2,2024Q2W01,,,,,,,,,,,,,,,,,,,,,,,,
80000.0,0.0,0.0,80000.0,80000.0,0.0,80000.0,80000.0,1374.0,3779.0,0.0,80000.0,2024,2,1,CQ,W,Propose,<1M,Coverage Select,Select Clients,Americas,US National Market,US National Market,US Northeast Region,01. MA-ME-NH-RI-VT Hub,Data Platform,Data Fabric,Databases,Db2,2024Q2W01,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,84394.0,0.0,0.0,84394.0,84394.0,496.0,5776.0,0.0,0.0,2024,2,-1,NQ,W,Qualify,<1M,Coverage Select,Select Clients,Americas,US National Market,US National Market,US Northeast Region,01. MA-ME-NH-RI-VT Hub,Data Platform,Data Fabric,Databases,Db2,2024Q2W-1,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,71666.0,0.0,0.0,71666.0,71666.0,289.0,726.0,0.0,0.0,2024,2,1,CQ,W,Qualify,<1M,Coverage Select,Select Clients,Americas,US National Market,US National Market,US Northeast Region,01. MA-ME-NH-RI-VT Hub,Data Platform,Data Fabric,Databases,Db2,2024Q2W01,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,20777.0,0.0,0.0,20777.0,20777.0,91.0,250.0,0.0,0.0,2024,2,1,CQ,W,Qualify,<1M,Coverage Select,Select Digital,Americas,US National Market,US National Market,US Northeast Region,01. MA-ME-NH-RI-VT Hub,Data Platform,Data Fabric,Databases,Db2,2024Q2W01,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,102499.0,0.0,0.0,102499.0,102499.0,723.0,8404.0,0.0,0.0,2024,2,-1,NQ,W,Qualify,<1M,Coverage Select,Select TSR,Americas,US National Market,US National Market,US Northeast Region,01. MA-ME-NH-RI-VT Hub,Data Platform,Data Fabric,Databases,Db2,2024Q2W-1,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,260000.0,0.0,0.0,260000.0,260000.0,4988.0,13718.0,0.0,0.0,2024,2,1,CQ,W,Qualify,<1M,Coverage Select,Select TSR,Americas,US National Market,US National Market,US Northeast Region,01. MA-ME-NH-RI-VT Hub,Data Platform,Data Fabric,Databases,Db2,2024Q2W01,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2024,2,14,PQ,W,Qualify,<1M,Coverage Select,Select TSR,Americas,US National Market,US National Market,US Northeast Region,01. MA-ME-NH-RI-VT Hub,Data Platform,Data Fabric,Databases,Db2,2024Q2W14,,,,,,,,,,,,,,,,,,,,,,,,
27181.0,27181.0,0.0,0.0,0.0,0.0,0.0,27181.0,0.0,0.0,0.0,0.0,2024,2,14,PQ,W,Won,<1M,Coverage Select,Select TSR,Americas,US National Market,US National Market,US Northeast Region,01. MA-ME-NH-RI-VT Hub,Data Platform,Data Fabric,Databases,Db2,2024Q2W14,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,5000.0,5000.0,5000.0,0.0,5000.0,5000.0,0.0,0.0,0.0,0.0,2024,2,-2,NQ+1,W,Propose,<1M,Coverage Select,Select Clients,Americas,US National Market,US National Market,US Northeast Region,02. CT-NJ-NY Hub,Data Platform,Data Fabric,Databases,Db2,2024Q2W-2,,,,,,,,,,,,,,,,,,,,,,,,
