SK_LINE_ITEM,OPPORTUNITY_NUMBER,ACCOUNT_NAME,CALL,WON,UPSIDE,QUALIFY_PLUS,PROPOSE_PLUS,NEGOTIATE_PLUS,OPEN_PIPELINE,VALUE,PPA,PPV,PWP,HIGH_PWP_OUT_CALL,LOW_PWP_IN_CALL,DATE,YEAR,QUARTER,WEEK,RELATIVE_QUARTER_MNEUMONIC,SNAPSHOT_LEVEL,SALES_STAGE,DEAL_SIZE,CLIENT_TYPE,CLIENT_SUB_TYPE,GEOGRAPHY,MARKET,COUNTRY,REGION,UT15_NAME,UT17_NAME,UT20_NAME,UT30_NAME,LINK_TO_ISC,SALES_WEEK_DESCRIPTION,BRANCH,CLOSE_DATE,CLOSE_YEAR,CLOSE_QUARTER,CLOSE_MONTH,CLOSE_WEEK,NEXT_STEP
9065262,0063h00000MDTauAAH,APPLIED MATERIALS INC,0.0,0.0,0.0,20000.0,0.0,0.0,20000.0,20000.0,120.0,219.0,0.00601202,0.0,0.0,2024-08-10 00:00:00,2024,3,6,CQ,W,Qualify,<1M,Coverage Select,Select Clients,Americas,US National Market,US National Market,US Northeast Region,Automation Platform,Security Threat Management,Security Threat Mgmt,QRadar Log Insights Withdrawn,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000MDTauAAH/view,2024Q3W06,15. CA-GU-HI-MP Hub,2024-09-06,2024,3,9,10,081 SLW Reached out again to BP for update
8866841,0063h00000MDTjwAAH,MATERIAS PRIMAS MONTERREY,0.0,0.0,0.0,60000.0,0.0,0.0,60000.0,60000.0,634.0,805.0,0.01058305,0.0,0.0,2024-08-10 00:00:00,2024,3,6,CQ,W,Qualify,<1M,Coverage Select,Select Digital,Americas,Latin America Market,Mexico,Mexico Region,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,VMware Managed and Solutions,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000MDTjwAAH/view,2024Q3W06,Mexico Select,2024-09-27,2024,3,9,13,
9257964,0063h00000MDTkpAAH,WISYNCO GROUP LIMITED,0.0,0.0,0.0,20000.0,0.0,0.0,20000.0,20000.0,225.0,281.0,0.01126446,0.0,0.0,2024-08-10 00:00:00,2024,3,6,CQ,W,Design,<1M,Coverage Select,Select Digital,Americas,Canadian Market,Jamaica,Caribbean Region,Data Platform,Data Fabric,Data Security,Guardium Data Protection,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000MDTkpAAH/view,2024Q3W06,Caribbean Select,2024-09-26,2024,3,9,13,71024 connect week of 715 of statuts of GKLM labs implementation with Newtown Harper  Innocative
8867121,0063h00000MDTl9AAH,SUNSTATES SECURITY LLC,0.0,0.0,0.0,1440.0,0.0,0.0,1440.0,1440.0,42.0,76.0,0.02972287,0.0,0.0,2024-08-10 00:00:00,2024,3,6,CQ,W,Qualify,<1M,Coverage Select,Select Digital,Americas,US National Market,US National Market,US Northeast Region,Automation Platform,Infrastructure Automation,Identity and Access Mgmt,MaaS360 Mobile Security and Management,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000MDTl9AAH/view,2024Q3W06,05. NC-SC Hub,2024-08-30,2024,3,8,9,726  Pushing deal out until next meeting with client 711  Client interested in buying 100200 TV 523  Call set for June 12th 424  Demo set for 424
8867122,0063h00000MDTmhAAH,NORFOLK SOUTHERN CORP,0.0,0.0,0.0,150000.0,0.0,0.0,150000.0,150000.0,409.0,620.0,0.00273012,0.0,0.0,2024-08-10 00:00:00,2024,3,6,CQ,W,Qualify,<1M,Coverage Strategic,Coverage Strategic,Americas,US Industry Market,US Industry,US Industry Region,Data Platform,AI Productivity,AI Assistants,Watson Discovery Withdrawn,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000MDTmhAAH/view,2024Q3W06,US Dist Strategic,2024-09-30,2024,3,9,14,85 Budget N Timing N Reached out to Courtney Massey proc mngr to introduce myself and setup a call Amy said its unlikely to close but worth connecting with Courtney to see if anythings changed
8867827,0063h00000MDTqxAAH,JOHN B SANFILIPPO & SON INC,0.0,0.0,0.0,50000.0,0.0,0.0,50000.0,50000.0,239.0,367.0,0.00478921,0.0,0.0,2024-08-10 00:00:00,2024,3,6,CQ,W,Qualify,<1M,Coverage Select,Select BPS-T,Americas,US National Market,US National Market,US Northeast Region,Automation Platform,Technology Business Management,Asset Lifecycle Management,Supply Chain Intelligence Suite Withdrawn,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000MDTqxAAH/view,2024Q3W06,10. IL-WI Hub,2024-09-17,2024,3,9,12,
8867439,0063h00000MDTrgAAH,ACE HARDWARE CORPORATION,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2024-08-10 00:00:00,2024,3,6,CQ,W,Qualify,<1M,Coverage Select,Select TSR,Americas,US National Market,US National Market,US Northeast Region,Automation Platform,Security Threat Management,Security Threat Mgmt,Security Randori ASM,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000MDTrgAAH/view,2024Q3W06,10. IL-WI Hub,2024-08-30,2024,3,8,9,
8866843,0063h00000MDTsjAAH,HIGHMARK INC,0.0,0.0,0.0,150000.0,0.0,0.0,150000.0,150000.0,1028.0,1368.0,0.00685471,0.0,0.0,2024-08-10 00:00:00,2024,3,6,CQ,W,Qualify,<1M,Coverage Strategic,Coverage Strategic,Americas,US Public Market,US Public,US Public Top Account Region,Data Platform,AI/ML Ops,AI Tools,watsonx.ai,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000MDTsjAAH/view,2024Q3W06,HIGHMARK,2024-09-13,2024,3,9,11,315  Met with Deb Duffy and John Gabrick on Monday 311 They are regrouping internally and will circle back on use case to explore CE
8867010,0063h00000MDTsjAAH,HIGHMARK INC,0.0,0.0,0.0,150000.0,0.0,0.0,150000.0,150000.0,1345.0,1791.0,0.00896951,0.0,0.0,2024-08-10 00:00:00,2024,3,6,CQ,W,Qualify,<1M,Coverage Strategic,Coverage Strategic,Americas,US Public Market,US Public,US Public Top Account Region,Data Platform,AI Productivity,AI Assistants,watsonx Assistant Withdrawn,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000MDTsjAAH/view,2024Q3W06,HIGHMARK,2024-09-13,2024,3,9,11,315  Met with Deb Duffy and John Gabrick on Monday 311 They are regrouping internally and will circle back on use case to explore CE
9014274,0063h00000MDTt8AAH,Stellarus LLC.,0.0,0.0,0.0,425000.0,0.0,0.0,425000.0,425000.0,2478.0,3786.0,0.00583127,0.0,0.0,2024-08-10 00:00:00,2024,3,6,CQ,W,Design,<1M,Coverage Select,Select TSR,Americas,US National Market,US National Market,US Northeast Region,Data Platform,Data Fabric,Data Integration,Databand,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000MDTt8AAH/view,2024Q3W06,15. CA-GU-HI-MP Hub,2024-09-26,2024,3,9,13,8824 LOB wans to move forward but leadership requiring a POC Data observability environmental analysis and choose the technology for cloud This would occur 4Q this year Meeting next week with Brijesh
