CALL,WON,UPSIDE,QUALIFY_PLUS,PROPOSE_PLUS,NEGOTIATE_PLUS,OPEN_PIPELINE,VALUE,PPA,PPV,HIGH_PWP_OUT_CALL,LOW_PWP_IN_CALL,YEAR,QUARTER,WEEK,RELATIVE_QUARTER_MNEUMONIC,SNAPSHOT_LEVEL,SALES_STAGE,DEAL_SIZE,CLIENT_TYPE,CLIENT_SUB_TYPE,GEOGRAPHY,MARKET,COUNTRY,REGION,BRANCH,UT15_NAME,UT17_NAME,UT20_NAME,UT30_NAME,SALES_WEEK_DESCRIPTION
0.0,0.0,0.0,529805.3,0.0,0.0,529805.3,529805.3,1789.0,3734.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Strategic,Coverage Strategic,APAC,India/South Asia Market,India,India/South Asia Region,ISA Strategic,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,2386.08,0.0,0.0,2386.08,2386.08,12.0,25.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Select,Select Digital,APAC,India/South Asia Market,India,India/South Asia Region,ISA West,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,58333.0,0.0,0.0,58333.0,58333.0,7307.0,13205.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Enterprise,Coverage Enterprise,EMEA,Italy Market,Italy,Italy Region,IT Enterprise,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,8400.0,0.0,0.0,8400.0,8400.0,276.0,423.0,0.0,0.0,2024,4,4,CQ,W,Design,<1M,Coverage Select,Select BPS-T,Japan,Japan Market,Japan,Japan Region,Japan Select Territory,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,228571.42,228571.42,228571.42,0.0,228571.42,228571.42,46703.0,71740.0,0.0,0.0,2024,4,4,CQ,W,Propose,<1M,Coverage Select,Select BPS-T,Japan,Japan Market,Japan,Japan Region,Japan Select Territory,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,0.0,0.0,0.0,11428.57,11428.57,173.0,0.0,0.0,0.0,2024,4,4,CQ,W,Engage,<1M,Coverage Select,Select TSR,Japan,Japan Market,Japan,Japan Region,Japan Select Territory,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,952380.95,952380.95,952380.95,0.0,952380.95,952380.95,662099.0,0.0,0.0,0.0,2024,4,4,CQ,W,Propose,<1M,Coverage Strategic,Coverage Strategic,Japan,Japan Market,Japan,Japan Region,Japan Strategic,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,4761.9,0.0,0.0,4761.9,4761.9,148.0,227.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Strategic,Coverage Strategic,Japan,Japan Market,Japan,Japan Region,Japan Strategic,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
5000.0,0.0,1600.0,6600.0,6600.0,0.0,6600.0,6600.0,179.0,293.0,0.0,5000.0,2024,4,4,CQ,W,Propose,<1M,Coverage Select,Select Digital,Americas,Latin America Market,Mexico,Mexico Region,Mexico Select,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,294.0,0.0,0.0,294.0,294.0,1.0,1.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Enterprise,Coverage Enterprise,EMEA,"Northern, Central and Eastern Europe Market",Netherlands,Netherlands Region,NL Enterprise,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,32.0,0.0,0.0,0.0,2024,4,4,CQ,W,Engage,<1M,Coverage Select,Select Build/Service,EMEA,"Northern, Central and Eastern Europe Market",Netherlands,Netherlands Region,NL Select Partners,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,9090.0,0.0,0.0,9090.0,9090.0,114.0,164.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Strategic,Coverage Strategic,EMEA,"Northern, Central and Eastern Europe Market",Netherlands,Netherlands Region,NL Strategic,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,50000.0,0.0,0.0,50000.0,50000.0,354.0,902.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Select,Select BPS-T,APAC,Australia/New Zealand Market,New Zealand,Australia/New Zealand Region,New Zealand Select,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,14090.0,0.0,0.0,14090.0,14090.0,51.0,82.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Select,Select Build/Service,Americas,Latin America Market,Colombia,Spanish South America Region,North SSA Select,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,9999.0,0.0,0.0,9999.0,9999.0,25.0,40.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Select,Select Clients,Americas,Latin America Market,Colombia,Spanish South America Region,North SSA Select,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,10000.0,52.0,85.0,0.0,0.0,2024,4,4,CQ,W,Design,<1M,Coverage Select,Select Digital,Americas,Latin America Market,Colombia,Spanish South America Region,North SSA Select,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,39375.0,0.0,0.0,39375.0,39375.0,137.0,223.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Select,Select Digital,Americas,Latin America Market,Colombia,Spanish South America Region,North SSA Select,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,10000.0,31.0,50.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Select,Select BPS-T,Americas,Latin America Market,Peru,Spanish South America Region,North SSA Select,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,4500.0,0.0,0.0,4500.0,4500.0,30.0,49.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Select,Select Digital,Americas,Latin America Market,Peru,Spanish South America Region,North SSA Select,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,9820.0,9820.0,9820.0,0.0,9820.0,9820.0,72.0,102.0,0.0,0.0,2024,4,4,CQ,W,Propose,<1M,Coverage Select,Select BPS-T,EMEA,"Northern, Central and Eastern Europe Market",Poland,"Poland, Baltics, Ukraine Region",PL Select Territory,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,193433.0,0.0,0.0,193433.0,193433.0,1245.0,1785.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Select,Select BPS-T,EMEA,"Northern, Central and Eastern Europe Market",Poland,"Poland, Baltics, Ukraine Region",PL Select Territory,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,1111.0,0.0,0.0,1111.0,1111.0,0.0,0.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Strategic,Coverage Strategic,EMEA,"Northern, Central and Eastern Europe Market",Poland,"Poland, Baltics, Ukraine Region",PL Strategic,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,60000.0,0.0,0.0,60000.0,60000.0,115.0,267.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Select,Select BPS-T,APAC,Greater China Group Market,China,Greater China Group Region,PRC Select NC Non Beijing,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,2000.0,0.0,0.0,2000.0,2000.0,18.0,32.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Select,Select BPS-T,EMEA,SPGI Market,Portugal,SPGI Region,PT Select Territory,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,6000.0,0.0,0.0,6000.0,6000.0,41.0,66.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Select,Select BPS-T,EMEA,Middle East/Africa Market,Qatar,Gulf Levante and Pakistan Region,QA Select Territory,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,150000.0,0.0,0.0,150000.0,150000.0,729.0,1188.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Select,Select Digital,EMEA,Middle East/Africa Market,Oman,Gulf Levante and Pakistan Region,Rest of Gulf Select Territory,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,0.0,0.0,0.0,5555.0,5555.0,5.0,0.0,0.0,0.0,2024,4,4,CQ,W,Engage,<1M,Coverage Select,Select TSR,EMEA,Middle East/Africa Market,Saudi Arabia,Saudi Arabia Region,SA Select Territory,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,28333.0,0.0,0.0,28333.0,28333.0,415.0,652.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Strategic,Coverage Strategic,Americas,US Public Market,US Public,US Public Top Account Region,STATE OF FLORIDA,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,5000.0,5000.0,5000.0,0.0,5000.0,5000.0,255.0,401.0,0.0,0.0,2024,4,4,CQ,W,Propose,<1M,Coverage Strategic,Coverage Strategic,Americas,US Public Market,US Public,US Public Top Account Region,STATE OF MISSOURI,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,25000.0,0.0,0.0,25000.0,25000.0,109.0,196.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Select,Select Build/Service,APAC,ASEAN Market,Singapore,ASEAN Region,Singapore Select,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,16666.0,0.0,0.0,16666.0,16666.0,39.0,64.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Select,Select Clients,Americas,Latin America Market,Argentina,Spanish South America Region,South SSA Select,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,11668.0,0.0,0.0,11668.0,11668.0,58.0,94.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Select,Select BPS-T,Americas,Latin America Market,Chile,Spanish South America Region,South SSA Select,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,7500.0,0.0,0.0,7500.0,7500.0,42.0,69.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Select,Select TSR,Americas,Latin America Market,Chile,Spanish South America Region,South SSA Select,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,11668.0,0.0,0.0,11668.0,11668.0,31.0,50.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Select,Select Digital,Americas,Latin America Market,Paraguay,Spanish South America Region,South SSA Select,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
40000.0,0.0,0.0,40000.0,40000.0,0.0,40000.0,40000.0,521.0,856.0,0.0,40000.0,2024,4,4,CQ,W,Propose,<1M,Coverage Strategic,Coverage Strategic,Americas,Latin America Market,Argentina,Spanish South America Region,South SSA Strategic,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,25000.0,0.0,0.0,25000.0,25000.0,39.0,63.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Select,Select BPS-T,EMEA,Middle East/Africa Market,Turkiye Sub,Türkiye Region,TR Select Territory,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,5000.0,0.0,0.0,5000.0,5000.0,47.0,109.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Unassigned,Unassigned,APAC,Greater China Group Market,Taiwan,Greater China Group Region,Taiwan Non Sales,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,0.0,0.0,0.0,19375.0,19375.0,58.0,0.0,0.0,0.0,2024,4,4,CQ,W,Engage,<1M,Coverage Strategic,Coverage Strategic,EMEA,UKI Market,United Kingdom,UKI Region,UK Strategic,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,69750.03,69750.03,69750.03,69750.03,69750.03,69750.03,1235.0,1921.0,0.0,0.0,2024,4,4,CQ,W,Negotiate,<1M,Coverage Select,Select Build/Service,EMEA,UKI Market,United Kingdom,UKI Region,UKI Select Partners,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
9148.05,9148.05,0.0,0.0,0.0,0.0,0.0,9148.05,9018.0,0.0,0.0,0.0,2024,4,4,CQ,W,Won,<1M,Unassigned,Unassigned,Americas,US Top Market,U.S. Top Country (Market View),US Top Region,US Top Non Sales,Automation Platform,Application Development & Integration,B2B Integration,Video Streaming,2024Q4W04
0.0,0.0,0.0,10800.0,0.0,0.0,10800.0,10800.0,7.0,10.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Select,Select TSR,Americas,US National Market,US National Market,US Northeast Region,01. MA-ME-NH-RI-VT Hub,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,100000.0,460.0,714.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Select,Select BPS-T,Americas,US National Market,US National Market,US Northeast Region,02. CT-NJ-NY Hub,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,8333.0,0.0,0.0,8333.0,8333.0,48.0,74.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Select,Select Digital,Americas,US National Market,US National Market,US Northeast Region,02. CT-NJ-NY Hub,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,2857.0,0.0,0.0,2857.0,2857.0,5.0,7.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Select,Select Clients,Americas,US National Market,US National Market,US Northeast Region,03. OH-PA Hub,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,6668.0,0.0,0.0,6668.0,6668.0,5.0,7.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Select,Select BPS-T,Americas,US National Market,US National Market,US Northeast Region,04. DC-DE-MD-WV-VA Hub,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,1818.0,0.0,0.0,1818.0,1818.0,3.0,4.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Select,Select Digital,Americas,US National Market,US National Market,US Northeast Region,04. DC-DE-MD-WV-VA Hub,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,21666.0,0.0,0.0,21666.0,21666.0,93.0,143.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Select,Select Digital,Americas,US National Market,US National Market,US Northeast Region,08. FL-PR-VI Hub,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,37500.0,0.0,0.0,37500.0,37500.0,218.0,338.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Select,Select Digital,Americas,US National Market,US National Market,US Northeast Region,12. AR-IA-KS-MO-NE-OK Hub,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,31250.0,0.0,0.0,31250.0,31250.0,149.0,231.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Select,Select Digital,Americas,US National Market,US National Market,US Northeast Region,13. AK-ID-MT-OR-WA Hub,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,8335.0,8335.0,8335.0,0.0,8335.0,8335.0,90.0,139.0,0.0,0.0,2024,4,4,CQ,W,Propose,<1M,Coverage Select,Select Digital,Americas,US National Market,US National Market,US Northeast Region,15. CA-GU-HI-MP Hub,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,4000.0,0.0,0.0,4000.0,4000.0,23.0,34.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Select,Select Digital,Americas,US National Market,US National Market,US Northeast Region,17. LA-TX Hub,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,0.0,0.0,0.0,12400.0,12400.0,12.0,0.0,0.0,0.0,2024,4,4,CQ,W,Engage,<1M,Coverage Select,Select BPS-T,APAC,Australia/New Zealand Market,Australia,Australia/New Zealand Region,Australia Select,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,7142.0,0.0,0.0,7142.0,7142.0,54.0,77.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Select,Select BPS-T,EMEA,"Northern, Central and Eastern Europe Market",Belgium,BeLux Region,BE Select Territory,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,50000.0,0.0,0.0,50000.0,50000.0,172.0,247.0,0.0,0.0,2024,4,4,CQ,W,Qualify,<1M,Coverage Select,Select BPS-T,EMEA,"Northern, Central and Eastern Europe Market",Finland,North Region Territory,Baltics Select Territory,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,1036.26,1036.26,1036.26,1036.26,1036.26,1036.26,187.0,307.0,0.0,0.0,2024,4,4,CQ,W,Negotiate,<1M,Coverage Select,Select BPS-T,Americas,Latin America Market,Brazil,Brazil Region,Brazil Select,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,3068.0,3068.0,3068.0,0.0,3068.0,3068.0,152.0,249.0,0.0,0.0,2024,4,4,CQ,W,Propose,<1M,Coverage Select,Select BPS-T,Americas,Latin America Market,Brazil,Brazil Region,Brazil Select,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,11.0,0.0,0.0,0.0,2024,4,4,CQ,W,Engage,<1M,Coverage Select,Select Build/Service,Americas,Latin America Market,Brazil,Brazil Region,Brazil Select,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,0.0,1977.42,0.0,0.0,1977.42,1977.42,153.0,251.0,0.0,0.0,2024,4,4,CQ,W,Design,<1M,Coverage Select,Select Clients,Americas,Latin America Market,Brazil,Brazil Region,Brazil Select,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,18047.11,18047.11,18047.11,18047.11,18047.11,18047.11,344.0,565.0,0.0,0.0,2024,4,4,CQ,W,Negotiate,<1M,Coverage Select,Select Clients,Americas,Latin America Market,Brazil,Brazil Region,Brazil Select,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
0.0,0.0,2813.0,2813.0,2813.0,0.0,2813.0,2813.0,285.0,468.0,0.0,0.0,2024,4,4,CQ,W,Propose,<1M,Coverage Select,Select Clients,Americas,Latin America Market,Brazil,Brazil Region,Brazil Select,Data Platform,Data Fabric,Data Integration,Watson APIs Withdrawn,2024Q4W04
