YEAR,QUARTER,MONTH,GEOGRAPHY,MARKET,COUNTRY,REGION,BRANCH,UT15_NAME,UT17_NAME,UT20_NAME,UT30_NAME,REVENUE,GROSS_PROFIT,REVENUE_PY,GROSS_PROFIT_PY,REVENUE_PPY,GROSS_PROFIT_PPY
2022,1,1,APAC,ASEAN Market,Philippines,ASEAN Region,Philippines Select,Public Cloud Platform,Public Cloud TEL & Support,Technology Expert Labs & Support,IBM Cloud Premium & Advanced Support,1382.63,1382.63,0.0,0.0,0.0,0.0
2022,1,1,APAC,ASEAN Market,Philippines,ASEAN Region,Unassigned,Automation Platform,Application Development & Integration,Application Integration,Aspera,356.59,356.59,0.0,0.0,0.0,0.0
2022,1,1,APAC,ASEAN Market,Philippines,ASEAN Region,Unassigned,Automation Platform,Application Development & Integration,B2B Integration,Video Streaming,323.19,323.19,0.0,0.0,0.0,0.0
2022,1,1,APAC,ASEAN Market,Philippines,ASEAN Region,Unassigned,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),2070.47,2070.47,0.0,0.0,0.0,0.0
2022,1,1,APAC,ASEAN Market,Philippines,ASEAN Region,Unassigned,Data Platform,Data Fabric,Data Intelligence,SPSS Statistics,1615.75,1615.75,0.0,0.0,0.0,0.0
2022,1,1,APAC,ASEAN Market,Philippines,ASEAN Region,Unassigned,Public Cloud Platform,Public Cloud PaaS,Cloud Native PaaS,Cloud Containers,7123.68,7123.68,0.0,0.0,0.0,0.0
2022,1,1,APAC,ASEAN Market,Philippines,ASEAN Region,Unassigned,Public Cloud Platform,Public Cloud PaaS,PaaS True Up / Top (AUO),"PaaS True Up, Allocations and Other (AUO)",0.92,0.92,0.0,0.0,0.0,0.0
2022,1,1,APAC,ASEAN Market,Singapore,ASEAN Region,Singapore Enterprise,Automation Platform,Application Development & Integration,Application Integration,"Financial Transactions,Payments & Insights",1458.33,1458.33,0.0,0.0,0.0,0.0
2022,1,1,APAC,ASEAN Market,Singapore,ASEAN Region,Singapore Non Sales,Automation Platform,Application Development & Integration,B2B Integration,Sterling Data Exchange SaaS,35.0,35.0,0.0,0.0,0.0,0.0
2022,1,1,APAC,ASEAN Market,Singapore,ASEAN Region,Singapore Non Sales,Data Platform,Data Fabric,Data Intelligence,SPSS Statistics,113.85,113.85,0.0,0.0,0.0,0.0
