YEAR,QUARTER,GEOGRAPHY,MARKET,UT15_NAME,TRANSACTIONAL_ADJUSTMENT,WEEK,CALL,NET_CALL
2023,4,APAC,ASEAN Market,Automation Platform,0.0,1.0,24948095.27,24948095.27
2023,4,APAC,ASEAN Market,Automation Platform,0.0,2.0,29097691.16,29097691.16
2023,4,APAC,ASEAN Market,Automation Platform,0.0,3.0,27686920.99,27686920.99
2023,4,APAC,ASEAN Market,Automation Platform,0.0,4.0,25866475.34,25866475.34
2023,4,APAC,ASEAN Market,Automation Platform,0.0,5.0,25313898.18,25313898.18
2023,4,APAC,ASEAN Market,Automation Platform,0.0,6.0,21737989.78,21737989.78
2023,4,APAC,ASEAN Market,Automation Platform,0.0,7.0,22306837.09,22306837.09
2023,4,APAC,ASEAN Market,Automation Platform,0.0,8.0,22078273.81,22078273.81
2023,4,APAC,ASEAN Market,Automation Platform,0.0,9.0,20169231.53,20169231.53
2023,4,APAC,ASEAN Market,Automation Platform,0.0,10.0,20076206.12,20076206.12
2023,4,APAC,ASEAN Market,Automation Platform,0.0,11.0,23387186.78,23387186.78
2023,4,APAC,ASEAN Market,Automation Platform,0.0,12.0,24396735.84,24396735.84
2023,4,APAC,ASEAN Market,Automation Platform,0.0,13.0,25106496.89,25106496.89
2023,4,APAC,ASEAN Market,Automation Platform,0.0,14.0,24368419.11,24368419.11
2023,4,APAC,ASEAN Market,Automation Platform,0.0,15.0,24368419.11,24368419.11
2023,4,APAC,ASEAN Market,Data Platform,0.0,1.0,23054085.98,23054085.98
2023,4,APAC,ASEAN Market,Data Platform,0.0,2.0,23466401.96,23466401.96
2023,4,APAC,ASEAN Market,Data Platform,0.0,3.0,23137636.12,23137636.12
2023,4,APAC,ASEAN Market,Data Platform,0.0,4.0,21527567.42,21527567.42
2023,4,APAC,ASEAN Market,Data Platform,0.0,5.0,18270343.31,18270343.31
2023,4,APAC,ASEAN Market,Data Platform,0.0,6.0,16604345.24,16604345.24
2023,4,APAC,ASEAN Market,Data Platform,0.0,7.0,16864507.52,16864507.52
2023,4,APAC,ASEAN Market,Data Platform,0.0,8.0,16175722.9,16175722.9
2023,4,APAC,ASEAN Market,Data Platform,0.0,9.0,13550960.27,13550960.27
2023,4,APAC,ASEAN Market,Data Platform,0.0,10.0,13859139.58,13859139.58
2023,4,APAC,ASEAN Market,Data Platform,0.0,11.0,13790140.55,13790140.55
2023,4,APAC,ASEAN Market,Data Platform,0.0,12.0,13041081.76,13041081.76
2023,4,APAC,ASEAN Market,Data Platform,0.0,13.0,12857002.01,12857002.01
2023,4,APAC,ASEAN Market,Data Platform,0.0,14.0,12899753.620000001,12899753.620000001
2023,4,APAC,ASEAN Market,Data Platform,0.0,15.0,12926836.95,12926836.95
2023,4,APAC,ASEAN Market,Storage TPS,0.0,1.0,1482947.28,1482947.28
2023,4,APAC,ASEAN Market,Storage TPS,0.0,2.0,1122947.28,1122947.28
2023,4,APAC,ASEAN Market,Storage TPS,0.0,3.0,1174845.28,1174845.28
2023,4,APAC,ASEAN Market,Storage TPS,0.0,4.0,1562947.28,1562947.28
2023,4,APAC,ASEAN Market,Storage TPS,0.0,5.0,1587947.28,1587947.28
2023,4,APAC,ASEAN Market,Storage TPS,0.0,6.0,1567947.28,1567947.28
2023,4,APAC,ASEAN Market,Storage TPS,0.0,7.0,1584947.28,1584947.28
2023,4,APAC,ASEAN Market,Storage TPS,0.0,8.0,1593147.28,1593147.28
2023,4,APAC,ASEAN Market,Storage TPS,0.0,9.0,1640433.0,1640433.0
