YEAR,QUARTER,BOOKING_STREAMS_SUBCATEGORY_NAME,BOOKING_STREAMS_NAME,GEOGRAPHY_NAME,MARKET_NAME,COUNTRY_NAME,UT15_NAME,UT17_NAME,UT20_NAME,UT30_NAME,TRANSACTIONAL_ADJUSTMENT
2025,2,Transactional Adjustments,Transactional Adjustment Base,Americas,US Top Market,U.S. Other Plan,Storage TPS,,,,-674967.4
2025,2,Transactional Adjustments,Transactional Adjustments Other/Top,EMEA,SPGI Market,SPGI Plan,Storage TPS,,,,1387539.3
2025,3,Transactional Adjustments,Transactional Adjustment Acquisitions,Americas,Latin America Market,Latin America Market Plan,Automation Platform,,,,49372.96
2025,1,Transactional Adjustments,Transactional Adjustments Gross To Net,Americas,Americas Top Countries,Americas Plan,Automation Platform,,,,0.0
2025,1,Transactional Adjustments,Transactional Adjustments Gross To Net,EMEA,SPGI Market,SPGI Plan,Storage TPS,,,,-88854.37
2025,1,Transactional Adjustments,Transactional Adjustment RedHat Carve-Out,EMEA,UKI Market,UK/Ireland Plan,Automation Platform,,,,-340468.89
2025,3,Transactional Adjustments,Transactional Adjustments Gross To Net,APAC,Greater China Group Market,Greater China Group Market Plan,Data Platform,,,,-495417.17
2025,3,Transactional Adjustments,Transactional Adjustments GtN Partner Plus (VAR),EMEA,UKI Market,UK/Ireland Plan,Automation Platform,,,,-570495.72
2025,1,Transactional Adjustments,Transactional Adjustments GtN Partner Plus (VAR),APAC,ASEAN Market,Asean Plan,Automation Platform,,,,228076.8
2025,1,Transactional Adjustments,Transactional Adjustment Acquisitions,APAC,Australia/New Zealand Market,Australia/New Zealand Plan,Automation Platform,,,,81318.13
2025,1,Transactional Adjustments,Transactional Adjustment Subscription,APAC,ASEAN Market,Asean Plan,Automation Platform,,,,183000.0
2025,2,Transactional Adjustments,Transactional Adjustments Gross To Net,Americas,Latin America Market,Latin America Market Plan,Automation Platform,,,,-2503800.04
2025,1,Transactional Adjustments,Transactional Adjustment RedHat Carve-Out,Americas,US Federal Market,U.S. Federal Plan,Automation Platform,,,,-688004.21
2025,3,Transactional Adjustments,Transactional Adjustments Gross To Net,APAC,ASEAN Market,Asean Plan,Automation Platform,,,,-626672.45
2025,1,Transactional Adjustments,Transactional Adjustment Subscription,Japan,Japan Market,Japan Plan,Storage TPS,,,,-16000.0
2025,2,Transactional Adjustments,Transactional Adjustment Base,Americas,US Top Market,U.S. Variance,Z TPS,,,,0.0
2025,1,Transactional Adjustments,Transactional Adjustments Gross To Net,EMEA,DACH Market,DACH Plan,Data Platform,,,,-700066.86
2025,2,Transactional Adjustments,Transactional Adjustments Gross To Net,EMEA,UKI Market,UK/Ireland Plan,Public Cloud Platform,,,,-67186.15
2025,1,Transactional Adjustments,Transactional Adjustments GtN Partner Plus (VAR),APAC,Korea Market,Korea Plan,Storage TPS,,,,-49777.36
2025,2,Transactional Adjustments,Transactional Adjustments Gross To Net,APAC,Korea Market,Korea Plan,Automation Platform,,,,-260733.09
2025,3,Transactional Adjustments,Transactional Adjustment Acquisitions,EMEA,UKI Market,UK/Ireland Plan,Automation Platform,,,,1040171.55
2025,3,Transactional Adjustments,Transactional Adjustments Other/Top,APAC,APAC Top Countries,APAC Plan,Storage TPS,,,,0.0
2025,2,Transactional Adjustments,Transactional Adjustments Gross To Net,EMEA,Middle East/Africa Market,Middle East and Africa Market Plan,Data Platform,,,,-485667.17
2025,2,Transactional Adjustments,Transactional Adjustments Gross To Net,APAC,Greater China Group Market,Greater China Group Market Plan,Z TPS,,,,-423.28
2025,1,Transactional Adjustments,Transactional Adjustment Base,Americas,US Top Market,U.S. Variance,Data Platform,,,,0.0
2025,1,Transactional Adjustments,Transactional Adjustment Base,Americas,Latin America Market,Latin America Market Plan,Automation Platform,,,,-4818.22
2025,2,Transactional Adjustments,Transactional Adjustment Base,Americas,US Financial Service Market,U.S. Financial Plan,Data Platform,,,,-188000.0
2025,1,Transactional Adjustments,Transactional Adjustments Other/Top,APAC,Greater China Group Market,Greater China Group Market Plan,Z TPS,,,,223332.12
2025,3,Transactional Adjustments,Transactional Adjustments GtN Partner Plus (VAR),EMEA,DACH Market,DACH Plan,Data Platform,,,,-1391589.74
2025,1,Transactional Adjustments,Transactional Adjustment Subscription,EMEA,France Market,France Plan,Data Platform,,,,4010000.0
2025,2,Transactional Adjustments,Transactional Adjustment RedHat Carve-Out,Americas,Latin America Market,Latin America Market Plan,Data Platform,,,,-20735.25
2025,3,Transactional Adjustments,Transactional Adjustments Gross To Net,EMEA,France Market,France Plan,Power TPS,,,,-1604.39
2025,1,Transactional Adjustments,Transactional Adjustments Other/Top,EMEA,"Northern, Central and Eastern Europe Market","Northern, Central and Eastern Europe Plan",Storage TPS,,,,686925.7
2025,3,Transactional Adjustments,Transactional Adjustment Acquisitions,APAC,ASEAN Market,Asean Plan,Automation Platform,,,,126500.44
2025,1,Transactional Adjustments,Transactional Adjustments GtN Partner Plus (VAR),APAC,Australia/New Zealand Market,Australia/New Zealand Plan,Storage TPS,,,,0.0
2025,1,Transactional Adjustments,Transactional Adjustment Subscription,EMEA,Middle East/Africa Market,Middle East and Africa Market Plan,Z TPS,,,,1000.0
2025,3,Transactional Adjustments,Transactional Adjustment Base,Americas,Canadian Market,Canada Plan,Z TPS,,,,-115875.03
2025,1,Transactional Adjustments,Transactional Adjustments Other/Top,EMEA,DACH Market,DACH Plan,Z TPS,,,,40685.28
2025,3,Transactional Adjustments,Transactional Adjustments Gross To Net,EMEA,Italy Market,Italy Plan,Data Platform,,,,-182578.5
2025,1,Transactional Adjustments,Transactional Adjustments Other/Top,EMEA,Italy Market,Italy Plan,Z TPS,,,,63655.53
2025,1,Transactional Adjustments,Transactional Adjustment RedHat Carve-Out,EMEA,"Northern, Central and Eastern Europe Market","Northern, Central and Eastern Europe Plan",Automation Platform,,,,-339376.86
2025,3,Transactional Adjustments,Transactional Adjustments Other/Top,Americas,Americas Top Countries,Americas Plan,Data Platform,,,,0.0
2025,3,Transactional Adjustments,Transactional Adjustments Other/Top,Japan,Japan Market,Japan Plan,Data Platform,,,,2701327.55
2025,1,Transactional Adjustments,Transactional Adjustments GtN Partner Plus (VAR),Japan,Japan Market,Japan Plan,Z TPS,,,,-6435.1
2025,1,Transactional Adjustments,Transactional Adjustment Base,Americas,Latin America Market,Latin America Market Plan,IBM Software Top (AUO),,,,-18.62
2025,1,Transactional Adjustments,Transactional Adjustments Gross To Net,APAC,India/South Asia Market,India & South Asia Plan,Power TPS,,,,-23.39
2025,1,Transactional Adjustments,Transactional Adjustments Gross To Net,EMEA,France Market,France Plan,Automation Platform,,,,-261318.74
2025,1,Transactional Adjustments,Transactional Adjustments Gross To Net,APAC,Australia/New Zealand Market,Australia/New Zealand Plan,Storage TPS,,,,-6730.73
2025,1,Transactional Adjustments,Transactional Adjustments Gross To Net,EMEA,DACH Market,DACH Plan,Automation Platform,,,,-541179.22
2025,2,Transactional Adjustments,Transactional Adjustments Gross To Net,EMEA,"Northern, Central and Eastern Europe Market","Northern, Central and Eastern Europe Plan",Power TPS,,,,-2157.06
2025,3,Transactional Adjustments,Transactional Adjustments Gross To Net,Americas,US Top Market,U.S. Other Plan,Power TPS,,,,-730000.57
2025,2,Transactional Adjustments,Transactional Adjustment RedHat Carve-Out,APAC,APAC Top Countries,APAC Plan,Data Platform,,,,0.0
2025,1,Transactional Adjustments,Transactional Adjustments Other/Top,APAC,Greater China Group Market,Greater China Group Market Plan,Automation Platform,,,,117841.94
2025,3,Transactional Adjustments,Transactional Adjustments Gross To Net,Americas,Canadian Market,Canada Plan,Automation Platform,,,,-257911.93
