SK_LINE_ITEM,OPPORTUNITY_NUMBER,CALL,WON,UPSIDE,QUALIFY_PLUS,PROPOSE_PLUS,NEGOTIATE_PLUS,OPEN_PIPELINE,VALUE,PPA,PPV,PWP,HIGH_PWP_OUT_CALL,LOW_PWP_IN_CALL,DATE,YEAR,QUARTER,WEEK,RELATIVE_QUARTER_MNEUMONIC,SNAPSHOT_LEVEL,SALES_STAGE,DEAL_SIZE,CLIENT_TYPE,CLIENT_SUB_TYPE,GEOGRAPHY,MARKET,COUNTRY,UT15_NAME,UT17_NAME,UT20_NAME,UT30_NAME,SALES_WEEK_DESCRIPTION,ACCOUNT_NAME,LINK_TO_ISC,REGION,BRANCH,CLOSE_WEEK,CLOSE_DATE,CLOSE_YEAR,CLOSE_QUARTER,CLOSE_MONTH,NEXT_STEP
7682886,0063h00000BGwJ5AAL,0.0,0.0,100000.0,100000.0,100000.0,0.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,2023-04-01 00:00:00,2023,4,-2,NQ+1,W,Propose,<1M,Coverage Enterprise,Coverage Enterprise,Americas,Canadian Market,Canada,Data Platform,Data Fabric,Data Intelligence,Cloud Pak for Data,2023Q4W-2,MINISTRY OF GOVERNMENT,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000BGwJ5AAL/view,Canada Region,CA Select - C,14,2023-12-29,2023,4,12,MB 112822 Will confirm ISEE NP 0816 ISEE NP mod highlighted for future planning 07212022 will request feedback from the 4 meetings over the past mos w head of common cluster solns CA VPC is the only feasible option
7740982,0063h00000BGwJ5AAL,0.0,0.0,270000.0,270000.0,270000.0,0.0,270000.0,270000.0,0.0,0.0,0.0,0.0,0.0,2023-04-01 00:00:00,2023,4,-2,NQ+1,W,Propose,<1M,Coverage Enterprise,Coverage Enterprise,Americas,Canadian Market,Canada,Data Platform,AI Productivity,Business Analytics,Business Analytics Enterprise,2023Q4W-2,MINISTRY OF GOVERNMENT,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000BGwJ5AAL/view,Canada Region,CA Select - C,14,2023-12-29,2023,4,12,MB 112822 Will confirm ISEE NP 0816 ISEE NP mod highlighted for future planning 07212022 will request feedback from the 4 meetings over the past mos w head of common cluster solns CA VPC is the only feasible option
7682886,0063h00000BGwJ5AAL,0.0,0.0,100000.0,100000.0,100000.0,0.0,100000.0,100000.0,1143.0,25225.0,0.01143687,0.0,0.0,2023-07-01 00:00:00,2023,4,-1,NQ,W,Propose,<1M,Coverage Enterprise,Coverage Enterprise,Americas,Canadian Market,Canada,Data Platform,Data Fabric,Data Intelligence,Cloud Pak for Data,2023Q4W-1,MINISTRY OF GOVERNMENT,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000BGwJ5AAL/view,Canada Region,CA Select - C,14,2023-12-29,2023,4,12,MB 050123 Invited to POX sessions112822 Will confirm ISEE NP 0816 ISEE NP mod highlighted for future planning 07212022 will request feedback from the 4 meetings over the past mos w head of common cluster solns CA VPC is the only feasible option
7740982,0063h00000BGwJ5AAL,0.0,0.0,270000.0,270000.0,270000.0,0.0,270000.0,270000.0,7450.0,164415.0,0.02759365,0.0,0.0,2023-07-01 00:00:00,2023,4,-1,NQ,W,Propose,<1M,Coverage Enterprise,Coverage Enterprise,Americas,Canadian Market,Canada,Data Platform,AI Productivity,Business Analytics,Business Analytics Enterprise,2023Q4W-1,MINISTRY OF GOVERNMENT,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000BGwJ5AAL/view,Canada Region,CA Select - C,14,2023-12-29,2023,4,12,MB 050123 Invited to POX sessions112822 Will confirm ISEE NP 0816 ISEE NP mod highlighted for future planning 07212022 will request feedback from the 4 meetings over the past mos w head of common cluster solns CA VPC is the only feasible option
7207971,0063h00000DJczBAAT,0.0,0.0,250000.0,250000.0,250000.0,0.0,250000.0,250000.0,2838.0,9112.0,0.01135387,0.0,0.0,2023-10-07 00:00:00,2023,4,1,CQ,W,Propose,<1M,Coverage Enterprise,Coverage Enterprise,Americas,Canadian Market,Canada,Data Platform,Data Fabric,Data Intelligence,Cloud Pak for Data,2023Q4W01,ROYAL BANK OF CANADA,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000DJczBAAT/view,Canada Region,Canada Enterprise,13,2023-12-22,2023,4,12,Watson Trust aka OpenScale in limited use with Pathfinder Looking to expand Pathfinder success to other projects that require model monitoring Next steps to identify additional use cases to bring onto CP4D platform in use today
4860,0063h00000DJdY9AAL,0.0,0.0,0.0,0.0,0.0,0.0,53333.61,53333.61,0.0,0.0,0.0,0.0,0.0,2023-04-01 00:00:00,2023,4,-2,NQ+1,W,Engage,<1M,Coverage Enterprise,Coverage Enterprise,Americas,Canadian Market,Canada,Data Platform,Data Fabric,Data Intelligence,Cloud Pak for Data,2023Q4W-2,SHARED SERVICES WEST REGIONAL,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000DJdY9AAL/view,Canada Region,CA Select - C,14,2023-12-29,2023,4,12,
4860,0063h00000DJdY9AAL,0.0,0.0,0.0,0.0,0.0,0.0,53333.61,53333.61,42.0,0.0,0.00079425,0.0,0.0,2023-07-01 00:00:00,2023,4,-1,NQ,W,Engage,<1M,Coverage Enterprise,Coverage Enterprise,Americas,Canadian Market,Canada,Data Platform,Data Fabric,Data Intelligence,Cloud Pak for Data,2023Q4W-1,SHARED SERVICES WEST REGIONAL,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000DJdY9AAL/view,Canada Region,CA Select - C,14,2023-12-29,2023,4,12,
4860,0063h00000DJdY9AAL,0.0,0.0,0.0,0.0,0.0,0.0,53333.33,53333.33,108.0,0.0,0.00203545,0.0,0.0,2023-10-07 00:00:00,2023,4,1,CQ,W,Engage,<1M,Coverage Enterprise,Coverage Enterprise,Americas,Canadian Market,Canada,Data Platform,Data Fabric,Data Intelligence,Cloud Pak for Data,2023Q4W01,SHARED SERVICES WEST REGIONAL,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000DJdY9AAL/view,Canada Region,CA Select - C,14,2023-12-29,2023,4,12,
4782,0063h00000DJdidAAD,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,80000.0,0.0,0.0,0.0,0.0,0.0,2023-04-01 00:00:00,2023,4,-2,NQ+1,W,Engage,<1M,Coverage Select,Select Digital,Americas,Canadian Market,Canada,Data Platform,Data Fabric,Data Intelligence,Cloud Pak for Data,2023Q4W-2,ASTELLAS PHARMA CANADA,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000DJdidAAD/view,Canada Region,CA Select,14,2023-12-29,2023,4,12,
4782,0063h00000DJdidAAD,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,80000.0,65.0,0.0,0.00082286,0.0,0.0,2023-07-01 00:00:00,2023,4,-1,NQ,W,Engage,<1M,Coverage Select,Select Digital,Americas,Canadian Market,Canada,Data Platform,Data Fabric,Data Intelligence,Cloud Pak for Data,2023Q4W-1,ASTELLAS PHARMA CANADA,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000DJdidAAD/view,Canada Region,CA Select,14,2023-12-29,2023,4,12,
4782,0063h00000DJdidAAD,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,80000.0,110.0,0.0,0.00138478,0.0,0.0,2023-10-07 00:00:00,2023,4,1,CQ,W,Engage,<1M,Coverage Select,Select Digital,Americas,Canadian Market,Canada,Data Platform,Data Fabric,Data Intelligence,Cloud Pak for Data,2023Q4W01,ASTELLAS PHARMA CANADA,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000DJdidAAD/view,Canada Region,CA Select,14,2023-12-29,2023,4,12,
