CALL,WON,UPSIDE,QUALIFY_PLUS,PROPOSE_PLUS,NEGOTIATE_PLUS,OPEN_PIPELINE,VALUE,PPA,PPV,HIGH_PWP_OUT_CALL,LOW_PWP_IN_CALL,YEAR,QUARTER,WEEK,RELATIVE_QUARTER_MNEUMONIC,SNAPSHOT_LEVEL,SALES_STAGE,DEAL_SIZE,CLIENT_TYPE,CLIENT_SUB_TYPE,GEOGRAPHY,MARKET,COUNTRY,REGION,BRANCH,UT15_NAME,UT17_NAME,UT20_NAME,UT30_NAME,SALES_WEEK_DESCRIPTION,CALL_PY,WON_PY,UPSIDE_PY,QUALIFY_PLUS_PY,PROPOSE_PLUS_PY,NEGOTIATE_PLUS_PY,OPEN_PIPELINE_PY,VALUE_PY,PPA_PY,PPV_PY,HIGH_PWP_OUT_CALL_PY,LOW_PWP_IN_CALL_PY,CALL_PPY,WON_PPY,UPSIDE_PPY,QUALIFY_PLUS_PPY,PROPOSE_PLUS_PPY,NEGOTIATE_PLUS_PPY,OPEN_PIPELINE_PPY,VALUE_PPY,PPA_PPY,PPV_PPY,HIGH_PWP_OUT_CALL_PPY,LOW_PWP_IN_CALL_PPY
0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,231.0,0.0,0.0,0.0,2023,4,-1,NQ,W,Engage,<1M,Coverage Select,Select Clients,Americas,US National Market,US National Market,US Northeast Region,02. CT-NJ-NY Hub,Z TPS,Z Application Development,Z Application Development Tools,ADDI,2023Q4W-1,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,99.0,0.0,0.0,0.0,2023,4,1,CQ,W,Engage,<1M,Coverage Select,Select Clients,Americas,US National Market,US National Market,US Northeast Region,02. CT-NJ-NY Hub,Z TPS,Z Application Development,Z Application Development Tools,ADDI,2023Q4W01,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.0,0.0,2023,4,-2,NQ+1,W,Engage,<1M,Coverage Select,Select TSR,Americas,US National Market,US National Market,US Northeast Region,02. CT-NJ-NY Hub,Z TPS,Z Application Development,Z Application Development Tools,ADDI,2023Q4W-2,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,180.0,0.0,0.0,0.0,2023,4,-1,NQ,W,Engage,<1M,Coverage Select,Select TSR,Americas,US National Market,US National Market,US Northeast Region,02. CT-NJ-NY Hub,Z TPS,Z Application Development,Z Application Development Tools,ADDI,2023Q4W-1,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,108.0,0.0,0.0,0.0,2023,4,1,CQ,W,Engage,<1M,Coverage Select,Select TSR,Americas,US National Market,US National Market,US Northeast Region,02. CT-NJ-NY Hub,Z TPS,Z Application Development,Z Application Development Tools,ADDI,2023Q4W01,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,0.0,0.0,0.0,0.0,2023,4,-2,NQ+1,W,Engage,<1M,Coverage Select,Select Clients,Americas,US National Market,US National Market,US Northeast Region,03. OH-PA Hub,Z TPS,Z Application Development,Z Application Development Tools,ADDI,2023Q4W-2,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,44.0,0.0,0.0,0.0,2023,4,-1,NQ,W,Engage,<1M,Coverage Select,Select Clients,Americas,US National Market,US National Market,US Northeast Region,03. OH-PA Hub,Z TPS,Z Application Development,Z Application Development Tools,ADDI,2023Q4W-1,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,71.0,0.0,0.0,0.0,2023,4,1,CQ,W,Engage,<1M,Coverage Select,Select Clients,Americas,US National Market,US National Market,US Northeast Region,03. OH-PA Hub,Z TPS,Z Application Development,Z Application Development Tools,ADDI,2023Q4W01,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,50000.0,0.0,0.0,50000.0,50000.0,117.0,6766.0,0.0,0.0,2023,4,-1,NQ,W,Qualify,<1M,Coverage Select,Select Clients,Americas,US National Market,US National Market,US Northeast Region,03. OH-PA Hub,Z TPS,Z Application Development,Z Application Development Tools,ADDI,2023Q4W-1,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,50000.0,0.0,0.0,50000.0,50000.0,98.0,873.0,0.0,0.0,2023,4,1,CQ,W,Qualify,<1M,Coverage Select,Select Clients,Americas,US National Market,US National Market,US Northeast Region,03. OH-PA Hub,Z TPS,Z Application Development,Z Application Development Tools,ADDI,2023Q4W01,,,,,,,,,,,,,,,,,,,,,,,,
