YEAR,QUARTER,MONTH,UT15_NAME,UT17_NAME,UT20_NAME,GEOGRAPHY,MARKET,COUNTRY,REGION,REVENUE_BUDGET,COST_BUDGET,EXPENSE_BUDGET,BRANCH
2025,3,7,Data Platform,AI Productivity,AI Assistants,APAC,ASEAN Market,Asean Plan,ASEAN Region,156426.0,0.0,0.0,
2025,4,10,Data Platform,AI Productivity,AI Assistants,APAC,ASEAN Market,Asean Plan,ASEAN Region,167728.83,0.0,0.0,
2025,2,4,Data Platform,AI Productivity,AI Assistants,APAC,Australia/New Zealand Market,Australia/New Zealand Plan,Australia/New Zealand Region,380249.16,0.0,0.0,
2025,1,1,Data Platform,AI Productivity,AI Assistants,Americas,Canadian Market,Canada Plan,Canada Region,741341.61,0.0,0.0,
2025,4,10,Data Platform,AI Productivity,AI Assistants,EMEA,DACH Market,DACH Plan,DACH Region,1167504.22,0.0,0.0,
2025,2,4,Data Platform,AI Productivity,AI Assistants,EMEA,France Market,France Plan,France Region,885323.75,0.0,0.0,
2025,1,1,Data Platform,AI Productivity,AI Assistants,APAC,India/South Asia Market,India & South Asia Plan,India/South Asia Region,36720.7,0.0,0.0,
2025,2,4,Data Platform,AI Productivity,AI Assistants,EMEA,SPGI Market,SPGI Top,SPGI Region,340152.75,0.0,0.0,
2025,3,7,Data Platform,AI Productivity,AI Assistants,EMEA,UKI Market,UK/Ireland Plan,UKI Region,3774758.87,0.0,0.0,
2025,1,1,Data Platform,AI Productivity,AI Assistants,Americas,US Partner Service Market,US Build/Service Partnerss Plan,US Partner Service Region,9336.89,0.0,0.0,
2025,3,7,Data Platform,AI Productivity,AI Assistants,Americas,US Partner Service Market,US Build/Service Partnerss Plan,US Partner Service Region,107379.96,0.0,0.0,
2025,4,10,Data Platform,AI Productivity,AI Assistants,Americas,US National Market,US National Plan,US Northeast Region,7234250.55,0.0,0.0,
2025,1,1,Data Platform,AI/ML Ops,AI Governance,APAC,ASEAN Market,Asean Plan,ASEAN Region,72155.81,0.0,0.0,
2025,2,4,Data Platform,AI/ML Ops,AI Governance,APAC,ASEAN Market,Asean Plan,ASEAN Region,87088.62,0.0,0.0,
2025,3,7,Data Platform,AI/ML Ops,AI Governance,APAC,ASEAN Market,Asean Plan,ASEAN Region,83024.77,0.0,0.0,
2025,1,1,Data Platform,AI/ML Ops,AI Governance,EMEA,France Market,France Plan,France Region,133086.49,0.0,0.0,
2025,3,7,Data Platform,AI/ML Ops,AI Governance,APAC,Greater China Group Market,Greater China Group Plan,Greater China Group Region,18984.7,0.0,0.0,
2025,1,1,Data Platform,AI/ML Ops,AI Governance,Japan,Japan Market,Japan Plan,Japan Region,366308.57,0.0,0.0,
2025,2,4,Data Platform,AI/ML Ops,AI Governance,APAC,Korea Market,Korea Plan,Korea Region,3841.6,0.0,0.0,
2025,1,1,Data Platform,AI/ML Ops,AI Governance,Americas,Latin America Market,Latin America Market Plan,Latin America Top Region,401300.6,0.0,0.0,
2025,4,10,Data Platform,AI/ML Ops,AI Governance,Americas,Latin America Market,Latin America Market Plan,Latin America Top Region,957214.08,0.0,0.0,
2025,1,1,Data Platform,AI/ML Ops,AI Governance,Americas,US Federal Market,U.S. Federal Plan,US Federal Region,6716.18,0.0,0.0,
2025,2,4,Data Platform,AI/ML Ops,AI Governance,Americas,US Federal Market,U.S. Federal Plan,US Federal Region,13496.69,0.0,0.0,
2025,4,10,Data Platform,AI/ML Ops,AI Governance,Americas,US Top Market,U.S. Other Plan,US Top Region,-469114.0,0.0,0.0,
2025,3,7,Data Platform,AI/ML Ops,AI Governance,EMEA,UKI Market,UK/Ireland Plan,UKI Region,1414880.53,0.0,0.0,
2025,4,10,Data Platform,AI/ML Ops,AI Governance,Americas,US Partner Service Market,US Build/Service Partnerss Plan,US Partner Service Region,34324.0,0.0,0.0,
2025,4,10,Data Platform,AI/ML Ops,AI Governance,Americas,US Industry Market,US Industry Plan,US Industry Region,406299.08,0.0,0.0,
2025,3,7,Data Platform,AI/ML Ops,AI Tools,APAC,Australia/New Zealand Market,Australia/New Zealand Plan,Australia/New Zealand Region,685056.06,0.0,0.0,
2025,3,7,Data Platform,AI/ML Ops,AI Tools,EMEA,DACH Market,DACH Plan,DACH Region,402718.24,0.0,0.0,
2025,2,4,Data Platform,AI/ML Ops,AI Tools,APAC,Greater China Group Market,Greater China Group Plan,Greater China Group Region,47767.5,0.0,0.0,
2025,3,7,Data Platform,AI/ML Ops,AI Tools,APAC,Greater China Group Market,Greater China Group Plan,Greater China Group Region,52574.53,0.0,0.0,
2025,3,7,Data Platform,AI/ML Ops,AI Tools,EMEA,Italy Market,Italy Plan,Italy Region,265377.7,0.0,0.0,
2025,2,4,Data Platform,AI/ML Ops,AI Tools,Japan,Japan Market,Japan Plan,Japan Region,303921.94,0.0,0.0,
2025,3,7,Data Platform,AI/ML Ops,AI Tools,EMEA,SPGI Market,SPGI Top,SPGI Region,184833.41,0.0,0.0,
2025,2,4,Data Platform,AI/ML Ops,AI Tools,Americas,US Federal Market,U.S. Federal Plan,US Federal Region,86290.73,0.0,0.0,
2025,4,10,Data Platform,AI/ML Ops,AI Tools,Americas,US Federal Market,U.S. Federal Plan,US Federal Region,141691.77,0.0,0.0,
2025,1,1,Data Platform,AI/ML Ops,AI Tools,EMEA,UKI Market,UK/Ireland Plan,UKI Region,1117473.14,0.0,0.0,
2025,1,1,Data Platform,AI/ML Ops,AI Tools,Americas,US National Market,US National Plan,US Northeast Region,1755112.78,0.0,0.0,
2025,3,7,Automation Platform,Application Development & Integration,Application Development,APAC,Korea Market,Korea Plan,Korea Region,14350.73,0.0,0.0,
2025,3,7,Automation Platform,Application Development & Integration,Application Development,Americas,Latin America Market,Latin America Market Plan,Latin America Top Region,80880.08,0.0,0.0,
2025,2,4,Automation Platform,Application Development & Integration,Application Development,EMEA,Middle East/Africa Market,Middle East and Africa Plan,Middle East/Africa Top Region,20297.63,0.0,0.0,
2025,1,1,Automation Platform,Application Development & Integration,Application Development,Americas,US Federal Market,U.S. Federal Plan,US Federal Region,8794.49,0.0,0.0,
2025,4,10,Automation Platform,Application Development & Integration,Application Development,Americas,US Federal Market,U.S. Federal Plan,US Federal Region,52347.64,0.0,0.0,
2025,3,7,Automation Platform,Application Development & Integration,Application Development,Americas,US Financial Service Market,U.S. Financial Plan,US Financial Service Region,193570.29,0.0,0.0,
2025,4,10,Automation Platform,Application Development & Integration,Application Development,Americas,US Partner Service Market,US Build/Service Partnerss Plan,US Partner Service Region,2603.94,0.0,0.0,
2025,2,4,Automation Platform,Application Development & Integration,Application Integration,APAC,Australia/New Zealand Market,Australia/New Zealand Plan,Australia/New Zealand Region,922906.96,0.0,0.0,
2025,3,7,Automation Platform,Application Development & Integration,Application Integration,EMEA,France Market,France Plan,France Region,1006863.91,0.0,0.0,
2025,3,7,Automation Platform,Application Development & Integration,Application Integration,APAC,India/South Asia Market,India & South Asia Plan,India/South Asia Region,30030.52,0.0,0.0,
2025,3,7,Automation Platform,Application Development & Integration,Application Integration,EMEA,Italy Market,Italy Plan,Italy Region,225866.99,0.0,0.0,
2025,4,10,Automation Platform,Application Development & Integration,Application Integration,Japan,Japan Market,Japan Plan,Japan Region,203568.92,0.0,0.0,
2025,3,7,Automation Platform,Application Development & Integration,Application Integration,APAC,Korea Market,Korea Plan,Korea Region,152145.59,0.0,0.0,
2025,1,1,Automation Platform,Application Development & Integration,Application Integration,EMEA,Middle East/Africa Market,Middle East and Africa Plan,Middle East/Africa Top Region,601940.5,0.0,0.0,
2025,4,10,Automation Platform,Application Development & Integration,Application Integration,EMEA,"Northern, Central and Eastern Europe Market","Northern, Central and Eastern Europe Plan","Northern, Central and Eastern Europe Top Region",2409873.91,0.0,0.0,
