SK_LINE_ITEM,OPPORTUNITY_NUMBER,ACCOUNT_NAME,CALL,WON,UPSIDE,QUALIFY_PLUS,PROPOSE_PLUS,NEGOTIATE_PLUS,OPEN_PIPELINE,VALUE,PPA,PPV,PWP,HIGH_PWP_OUT_CALL,LOW_PWP_IN_CALL,DATE,YEAR,QUARTER,WEEK,RELATIVE_QUARTER_MNEUMONIC,SNAPSHOT_LEVEL,SALES_STAGE,DEAL_SIZE,CLIENT_TYPE,CLIENT_SUB_TYPE,GEOGRAPHY,MARKET,COUNTRY,REGION,UT15_NAME,UT17_NAME,UT20_NAME,UT30_NAME,LINK_TO_ISC,SALES_WEEK_DESCRIPTION,BRANCH,CLOSE_DATE,CLOSE_YEAR,CLOSE_QUARTER,CLOSE_MONTH,CLOSE_WEEK,NEXT_STEP
2953102,0063h00000BHOJaAAP,RISQ INC,0.0,0.0,0.0,30000.0,0.0,0.0,30000.0,30000.0,62.0,0.0,0.00207357,0.0,0.0,2023-10-07 00:00:00,2023,4,1,CQ,W,Design,<1M,Coverage Enterprise,Coverage Enterprise,Americas,Canadian Market,Canada,Canada Region,Storage TPS,Storage for Data Resiliency SW Market,Storage for Data Resiliency SW,Storage Protect Plus (inc CDM & Sentinel),https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000BHOJaAAP/view,2023Q4W01,CA Select - C,2023-12-29,2023,4,12,14,trying to get the cust to test the sw JFL 0928
7785885,0063h00000DJdm0AAD,REGIE DE L'ASSURANCE-MALADIE,0.0,0.0,0.0,66666.66,0.0,0.0,66666.66,66666.66,205.0,141.0,0.0030818,0.0,0.0,2023-10-07 00:00:00,2023,4,1,CQ,W,Qualify,<1M,Coverage Enterprise,Coverage Enterprise,Americas,Canadian Market,Canada,Canada Region,Data Platform,AI Productivity,Workflow Automation,Cloud Pak for Business Automation,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000DJdm0AAD/view,2023Q4W01,CA Select - C,2023-12-20,2023,4,12,13,20230622  Meeting to be schedule with Guillaume Bussiere  Eric Simard  Goal is to engage them in the cloud catalog vehicle and avoir RFP
8486924,0063h00000DJeN5AAL,ROYAL BANK OF CANADA,73000.0,73000.0,0.0,0.0,0.0,0.0,0.0,73000.0,0.0,0.0,0.0,0.0,0.0,2024-01-06 00:00:00,2023,4,14,PQ,W,Won,<1M,Coverage Enterprise,Coverage Enterprise,Americas,Canadian Market,Canada,Canada Region,Data Platform,AI/ML Ops,AI Tools,watsonx.ai,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000DJeN5AAL/view,2023Q4W14,Canada Enterprise,2023-12-08,2023,4,12,11,AD 1201 Client ran into OCP licensingsupport issue on 1130 stalling final support required OCP support issues being resolved with commitment to close by 1208 Redoing approval and order letter for share Monday 1204
7778,0063h00000DJeVVAA1,MANITOBA HYDRO,0.0,0.0,0.0,200777.0,0.0,0.0,200777.0,200777.0,0.0,0.0,0.0,0.0,0.0,2023-04-01 00:00:00,2023,4,-2,NQ+1,W,Qualify,<1M,Coverage Select,Select Clients,Americas,Canadian Market,Canada,Canada Region,Automation Platform,Technology Business Management,Asset Lifecycle Management,Environmental Intelligence,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000DJeVVAA1/view,2023Q4W-2,CA Select - C,2023-10-02,2023,4,10,2,2223 Hal moved to new role Trevor working with account team and through Zoom Info to find new contacts to pursue
2132462,0063h00000DJeuaAAD,BANK OF MONTREAL,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2023-04-01 00:00:00,2023,4,-2,NQ+1,W,Propose,<1M,Coverage Enterprise,Coverage Enterprise,Americas,Canadian Market,Canada,Canada Region,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,VMware Managed and Solutions,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000DJeuaAAD/view,2023Q4W-2,Canada Enterprise,2023-12-01,2023,4,12,10,Meet w stakeholder to review RACISupport Position ROM pricing
2142769,0063h00000DJeuaAAD,BANK OF MONTREAL,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2023-04-01 00:00:00,2023,4,-2,NQ+1,W,Propose,<1M,Coverage Enterprise,Coverage Enterprise,Americas,Canadian Market,Canada,Canada Region,Public Cloud Platform,Public Cloud PaaS,ZaaS and Hyper Protect Services,ZaaS and Hyper Protect,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000DJeuaAAD/view,2023Q4W-2,Canada Enterprise,2023-12-01,2023,4,12,10,Meet w stakeholder to review RACISupport Position ROM pricing
2144470,0063h00000DJeuaAAD,BANK OF MONTREAL,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2023-04-01 00:00:00,2023,4,-2,NQ+1,W,Propose,<1M,Coverage Enterprise,Coverage Enterprise,Americas,Canadian Market,Canada,Canada Region,Public Cloud Platform,Public Cloud TEL & Support,Technology Expert Labs & Support,IBM Cloud Premium & Advanced Support,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000DJeuaAAD/view,2023Q4W-2,Canada Enterprise,2023-12-01,2023,4,12,10,Meet w stakeholder to review RACISupport Position ROM pricing
2132462,0063h00000DJeuaAAD,BANK OF MONTREAL,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2023-07-01 00:00:00,2023,4,-1,NQ,W,Propose,<1M,Coverage Enterprise,Coverage Enterprise,Americas,Canadian Market,Canada,Canada Region,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,VMware Managed and Solutions,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000DJeuaAAD/view,2023Q4W-1,Canada Enterprise,2023-12-01,2023,4,12,10,Meet w stakeholder to review RACISupport Position ROM pricing
2142769,0063h00000DJeuaAAD,BANK OF MONTREAL,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2023-07-01 00:00:00,2023,4,-1,NQ,W,Propose,<1M,Coverage Enterprise,Coverage Enterprise,Americas,Canadian Market,Canada,Canada Region,Public Cloud Platform,Public Cloud PaaS,ZaaS and Hyper Protect Services,ZaaS and Hyper Protect,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000DJeuaAAD/view,2023Q4W-1,Canada Enterprise,2023-12-01,2023,4,12,10,Meet w stakeholder to review RACISupport Position ROM pricing
2144470,0063h00000DJeuaAAD,BANK OF MONTREAL,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2023-07-01 00:00:00,2023,4,-1,NQ,W,Propose,<1M,Coverage Enterprise,Coverage Enterprise,Americas,Canadian Market,Canada,Canada Region,Public Cloud Platform,Public Cloud TEL & Support,Technology Expert Labs & Support,IBM Cloud Premium & Advanced Support,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000DJeuaAAD/view,2023Q4W-1,Canada Enterprise,2023-12-01,2023,4,12,10,Meet w stakeholder to review RACISupport Position ROM pricing
