CALL,WON,UPSIDE,QUALIFY_PLUS,PROPOSE_PLUS,NEGOTIATE_PLUS,OPEN_PIPELINE,VALUE,PPA,PPV,HIGH_PWP_OUT_CALL,LOW_PWP_IN_CALL,YEAR,QUARTER,WEEK,RELATIVE_QUARTER_MNEUMONIC,SNAPSHOT_LEVEL,SALES_STAGE,DEAL_SIZE,CLIENT_TYPE,CLIENT_SUB_TYPE,GEOGRAPHY,MARKET,COUNTRY,REGION,BRANCH,UT15_NAME,UT17_NAME,UT20_NAME,UT30_NAME,SALES_WEEK_DESCRIPTION
0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,288.0,0.0,0.0,0.0,2023,4,-1,NQ,W,Engage,<1M,Coverage Select,Select Clients,Americas,US National Market,US National Market,US Northeast Region,01. MA-ME-NH-RI-VT Hub,Automation Platform,Technology Business Management,Observability Portfolio,AIOps Insights Withdrawn,2023Q4W-1
0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,143.0,0.0,0.0,0.0,2023,4,1,CQ,W,Engage,<1M,Coverage Select,Select Clients,Americas,US National Market,US National Market,US Northeast Region,01. MA-ME-NH-RI-VT Hub,Automation Platform,Technology Business Management,Observability Portfolio,AIOps Insights Withdrawn,2023Q4W01
0.0,0.0,0.0,60000.0,0.0,0.0,60000.0,60000.0,580.0,802.0,0.0,0.0,2023,4,1,CQ,W,Design,<1M,Coverage Select,Select Clients,Americas,US National Market,US National Market,US Northeast Region,02. CT-NJ-NY Hub,Automation Platform,Technology Business Management,Observability Portfolio,AIOps Insights Withdrawn,2023Q4W01
0.0,0.0,0.0,0.0,0.0,0.0,250000.0,250000.0,598.0,0.0,0.0,0.0,2023,4,-1,NQ,W,Engage,<1M,Coverage Select,Select Clients,Americas,US National Market,US National Market,US Northeast Region,07. AL-GA-MS Hub,Automation Platform,Technology Business Management,Observability Portfolio,AIOps Insights Withdrawn,2023Q4W-1
0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,85.0,0.0,0.0,0.0,2023,4,1,CQ,W,Engage,<1M,Coverage Select,Select BPS-T,Americas,US National Market,US National Market,US Northeast Region,10. IL-WI Hub,Automation Platform,Technology Business Management,Observability Portfolio,AIOps Insights Withdrawn,2023Q4W01
0.0,0.0,100000.0,100000.0,100000.0,0.0,100000.0,100000.0,708.0,979.0,0.0,0.0,2023,4,1,CQ,W,Propose,<1M,Coverage Select,Select TSR,Americas,US National Market,US National Market,US Northeast Region,12. AR-IA-KS-MO-NE-OK Hub,Automation Platform,Technology Business Management,Observability Portfolio,AIOps Insights Withdrawn,2023Q4W01
0.0,0.0,0.0,93000.01,0.0,0.0,93000.01,93000.01,0.0,0.0,0.0,0.0,2023,4,-2,NQ+1,W,Qualify,<1M,Coverage Select,Select BPS-T,APAC,Australia/New Zealand Market,Australia,Australia/New Zealand Region,Australia Select,Automation Platform,Technology Business Management,Observability Portfolio,AIOps Insights Withdrawn,2023Q4W-2
0.0,0.0,0.0,93000.01,0.0,0.0,93000.01,93000.01,300.0,3958.0,0.0,0.0,2023,4,-1,NQ,W,Qualify,<1M,Coverage Select,Select BPS-T,APAC,Australia/New Zealand Market,Australia,Australia/New Zealand Region,Australia Select,Automation Platform,Technology Business Management,Observability Portfolio,AIOps Insights Withdrawn,2023Q4W-1
0.0,0.0,0.0,93000.01,0.0,0.0,93000.01,93000.01,237.0,243.0,0.0,0.0,2023,4,1,CQ,W,Qualify,<1M,Coverage Select,Select BPS-T,APAC,Australia/New Zealand Market,Australia,Australia/New Zealand Region,Australia Select,Automation Platform,Technology Business Management,Observability Portfolio,AIOps Insights Withdrawn,2023Q4W01
0.0,0.0,0.0,101.26,0.0,0.0,101.26,101.26,0.0,0.0,0.0,0.0,2023,4,1,CQ,W,Qualify,<1M,Coverage Enterprise,Coverage Enterprise,Americas,Latin America Market,Brazil,Brazil Region,Brazil Enterprise,Automation Platform,Technology Business Management,Observability Portfolio,AIOps Insights Withdrawn,2023Q4W01
0.0,0.0,0.0,35105.28,0.0,0.0,35105.28,35105.28,281.0,2141.0,0.0,0.0,2023,4,-1,NQ,W,Qualify,<1M,Coverage Select,Select BPS-T,Americas,Latin America Market,Brazil,Brazil Region,Brazil Select,Automation Platform,Technology Business Management,Observability Portfolio,AIOps Insights Withdrawn,2023Q4W-1
